번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수
170,부화업,02_04_04_P,4570000,4.57E+17,2021.2.8,,1,영업/정상,0,정상,,,,,041-837-3347,,33177,충청남도 부여군 석성면 현내리 ***,충청남도 부여군 석성면 석성북로 ***-**,33177,농업회사법인(주)영진,2021.2.8 17:05,I,2021.2.10 0:23,,198809.6602,303723.8084,부화업,,2153,L00,
171,부화업,02_04_04_P,4440000,4.44E+17,2021.3.5,,1,영업/정상,0,정상,,,,,,,29107,충청북도 영동군 용산면 천작리 ***-*,"충청북도 영동군 용산면 천작*길 **, 단독주택",29107,영농조합법인정원농장,2021.3.5 9:07,I,2021.3.7 0:23,,272614.9296,308311.292,부화업,,567,L00,
172,부화업,02_04_04_P,5710000,5.72E+17,2011.12.22,,1,영업/정상,0,정상,,,,,043-715-1233,,363-872,충청북도 청주시 상당구 미원면 운암리 ***번지,,,(주)도원농산,2015.9.24 15:15,I,2018.8.31 23:59,,,,부화업,,1430,L00,
173,부화업,02_04_04_P,5710000,5.735E+17,2007.4.5,,1,영업/정상,0,정상,,,,,,0,363-886,충청북도 청주시 청원구 오창읍 주성리 **번지,,,왕새농장부화장,2008.1.4 18:01,I,2018.8.31 23:59,,,,부화업,,830,0,
174,부화업,02_04_04_P,4480000,4.48E+17,2016.10.14,,1,영업/정상,0,정상,,,,,,,27016,충청북도 단양군 어상천면 덕문곡리 ***-*,충청북도 단양군 어상천면 연곡심곡로 **-**,27016,대신부화장,2021.3.2 13:43,U,2021.3.4 2:40,,318735.5981,397168.3063,부화업,,252,0,
175,부화업,02_04_04_P,4450000,4.45E+17,2007.3.28,,1,영업/정상,0,정상,,,,,,0,365-861,충청북도 진천군 문백면 봉죽리 ***-*,,,원천부화장,2022.5.3 14:30,U,2022.5.5 2:40,,,,부화업,,388,0,0
176,부화업,02_04_04_P,4450000,4.45E+17,2011.3.29,,1,영업/정상,0,정상,,,,,534-7255,0,365-862,충청북도 진천군 문백면 사양리 ***-*번지,충청북도 진천군 문백면 사양*길 **-**,27863,농업회사법인 오비아코리아유한회사,2018.6.27 9:58,I,2018.8.31 23:59,,240863.0629,370151.2712,부화업,,505,L00,
177,부화업,02_04_04_P,4450000,4.45E+17,2018.7.6,,1,영업/정상,0,정상,,,,,,,27846,충청북도 진천군 초평면 중석리 ****번지 에코팜,"충청북도 진천군 초평면 초평로 ***, 에코팜",27846,에코팜,2018.7.6 16:57,I,2018.8.31 23:59,,244079.3044,371963.8769,부화업,,722,0,
178,부화업,02_04_04_P,5690000,5.69E+17,1992.5.7,,1,영업/정상,0,정상,,,,,,1320,,세종특별자치시 장군면 은용리 **-*번지,,,백제부화장,2003.4.10 9:22,I,2018.8.31 23:59,,219038.0265,332259.9952,부화업,,,0,
179,부화업,02_04_04_P,5690000,5.69E+17,2004.6.23,,1,영업/정상,0,정상,,,,,,0,314-913,세종특별자치시 장군면 은용리 **-*,,,백제,2021.12.16 10:18,U,2021.12.18 2:40,,219038.0265,332259.9952,부화업,,3,0,0
180,부화업,02_04_04_P,4470000,4.47E+17,2011.12.6,,1,영업/정상,0,정상,,,,,043-882-5282,,369-823,충청북도 음성군 맹동면 봉현리 ***-*번지,충청북도 음성군 대소면 대동로 ***-**,,(주)정축산,2018.5.2 8:29,I,2018.8.31 23:59,,247297.0861,383129.2604,부화업,,611,L00,
181,부화업,02_04_04_P,4470000,4.47E+17,1997.4.4,,1,영업/정상,0,정상,,,,1997.4.4,,0,,충청북도 음성군 삼성면 용대리 **번지,충청북도 음성군 삼성면 일생로 **-**,,코리아덕주식회사,2003.5.9 16:20,I,2018.8.31 23:59,,246992.0443,394871.5707,부화업,,,0,
182,부화업,02_04_04_P,4470000,4.47E+17,1997.4.4,,1,영업/정상,0,정상,,,,,,0,369-831,충청북도 음성군 삼성면 용대리 **번지,충청북도 음성군 삼성면 일생로 **-**,27647,코리아덕,2019.11.18 13:17,U,2019.11.20 2:40,,246992.0443,394871.5707,부화업,,7,0,
183,부화업,02_04_04_P,4470000,4.47E+17,2008.9.24,,1,영업/정상,0,정상,,,,,,0,369-824,충청북도 음성군 대소면 오류리 ***-**번지 외 **필지,충청북도 음성군 대소면 대금로***번길 *** (외 **필지),,농업회사법인(주)엠에스푸드,2019.11.18 13:22,U,2019.11.20 2:40,,241627.3325,387440.6468,부화업,,486,L00,
184,부화업,02_04_04_P,4470000,4.47E+17,2011.8.1,,1,영업/정상,0,정상,,,,,,,369-831,충청북도 음성군 삼성면 능산리 ***,충청북도 음성군 삼성면 일생로 **-**,27647,한국양계(주),2021.7.20 10:53,U,2021.7.22 2:40,,247321.8386,394596.7123,부화업,,600,L00,0
185,부화업,02_04_04_P,4420000,4.42E+17,2017.3.17,,1,영업/정상,0,정상,,,,,,,28959,**-**번지,충청북도 보은군 탄부면 평각상장로 ***-*,28959,글로비다,2017.7.3 15:20,I,2018.8.31 23:59,,269247.4499,328403.1661,부화업,,1159,L00,
186,부화업,02_04_04_P,3940000,3.94E+17,2005.2.25,,1,영업/정상,0,정상,,,,,031-923-1378,0,411-440,경기도 고양시 일산서구 가좌동 ***-*번지 충청농장,경기도 고양시 일산서구 송포로 *** (가좌동),10208,충청농장,2017.11.17 14:05,I,2018.8.31 23:59,,175702.5997,465737.9224,부화업,,42,0,
187,부화업,02_04_04_P,4680000,4.68E+17,2001.5.3,,1,영업/정상,0,정상,,,,,,0,570-840,전라북도 익산시 용안면 동지산리 ***-*번지,전라북도 익산시 함라면 어등길 *,54502,새빛부화장,2016.12.12 20:07,I,2018.8.31 23:59,,190675.5618,282289.2873,부화업,,14,0,
188,부화업,02_04_04_P,5710000,5.71E+17,2015.6.11,,1,영업/정상,0,정상,,,,,,,363-931,충청북도 청주시 청원구 내수읍 구성리,충청북도 청주시 청원구 내수읍 구성새동네길 **,28153,충청북도동물위생시험소,2018.2.12 11:43,I,2018.8.31 23:59,,245251.8716,354668.6693,부화업,,1937,0,
189,부화업,02_04_04_P,4390000,4.39E+17,2009.10.23,,1,영업/정상,0,정상,,,,,851-9983,0,380-851,충청북도 충주시 소태면 동막리 ***번지,충청북도 충주시 소태면 동막강현길 ***,27308,(주)파인스,2015.11.23 10:09,I,2018.8.31 23:59,,279336.374,400050.2038,부화업,,675,L00,
190,부화업,02_04_04_P,5710000,5.71E+17,2015.7.14,,1,영업/정상,0,정상,,,,,,,361-911,,충청북도 청주시 흥덕구 옥산면 가락*길 **,28113,일월부화장,2015.7.14 15:12,I,2018.8.31 23:59,,234450.1982,352440.6842,부화업,,1946,0,
191,부화업,02_04_04_P,4390000,4.39E+17,1993.7.8,,1,영업/정상,0,정상,,,,,853-9933,4285,380-912,강원도 인제군 인제읍 덕산리 ***,충청북도 충주시 노은면 두리봉길 **-**,27451,해마로농산 부화장,2021.2.24 9:53,U,2021.2.26 2:40,,304485.6964,510366.7574,부화업,,3,L00,
192,부화업,02_04_04_P,5230000,5.23E+17,2021.1.22,,1,영업/정상,0,정상,,,,,043-877-9987,,36809,**** 에버그린(농업회사법인),"경상북도 예천군 감천면 예영로 ****-**, 에버그린(농업회사법인)",36809,농업회사법인 (주)에버그린 예천지점,2021.8.19 9:55,U,2021.8.21 2:40,,338091.4836,360960.3517,부화업,,2627,L00,0
193,부화업,02_04_04_P,5470000,5.47E+17,2022.6.3,,1,영업/정상,0,정상,,,,,,,50115,경상남도 거창군 주상면 도평리 ***-*,경상남도 거창군 주상면 웅양로 ***-**,50115,일영이팜영농조합법인부화장,2022.6.3 9:51,I,2022.6.5 0:22,,282298.3535,249118.1345,부화업,,2144,L00,0
194,부화업,02_04_04_P,4780000,4.78E+17,2022.4.29,,1,영업/정상,0,정상,,,,,,,56457,전라북도 고창군 무장면 옥산리 ****-*,전라북도 고창군 무장면 칠거리로 ***,56457,하림무장부화장,2022.4.29 16:05,I,2022.5.1 0:22,,161824.8187,211457.1492,부화업,,1430,L00,
195,부화업,02_04_04_P,4600000,4.6E+17,2000.12.9,,2,휴업,1,휴업,,2013.11.26,2015.12.31,,,0,350-903,충청남도 홍성군 광천읍 운용리 ***-*번지,충청남도 홍성군 광천읍 홍남동로***번길 ***-**,,주식회사 운용농산,2013.11.29 10:04,I,2018.8.31 23:59,,170538.313,336607.492,부화업,,61,L00,
196,부화업,02_04_04_P,5130000,5.13E+17,1996.11.19,,2,휴업,1,휴업,,2018.12.13,2019.12.13,,,0,766-823,경상북도 경산시 와촌면 소월리 ***번지,경상북도 경산시 와촌면 박사강변로 ***,38411,신영부화장,2018.12.13 15:58,U,2018.12.15 2:40,,364448.2443,275124.7047,부화업,,1417,0,
197,부화업,02_04_04_P,4540000,4.54E+17,2005.2.23,,2,휴업,1,휴업,,2013.12.10,2015.12.31,,742-3311,0,320-833,충청남도 논산시 연무읍 동산리 ***-*번지,충청남도 논산시 연무읍 동안로 ****,,(주)신기,2015.3.12 17:50,I,2018.8.31 23:59,,211126.5645,292065.5144,부화업,,111,L00,
198,부화업,02_04_04_P,5680000,4.63E+17,1997.2.3,,2,휴업,1,휴업,,2021.9.9,2022.9.8,,,0,343-803,충청남도 당진시 읍내동 ***,충청남도 당진시 동산길 ** (사기소동),31789,구룡부화장,2021.9.9 13:25,U,2021.9.11 2:40,,166209.3931,372360.497,부화업,,78,0,0
199,부화업,02_04_04_P,4520000,4.52E+17,2004.6.22,,2,휴업,1,휴업,,2020.2.7,2023.2.5,,,0,336-871,충청남도 아산시 둔포면 운교리 *-*번지,,,성호부화장,2020.2.7 9:05,U,2020.2.9 2:40,,204768.189,379625.6215,부화업,,12,0,
200,부화업,02_04_04_P,4520000,4.52E+17,2012.8.13,,2,휴업,1,휴업,,2020.2.7,2023.2.5,,,,336-871,충청남도 아산시 둔포면 운교리 *-*번지,,,농업회사법인 유한회사 성호,2020.2.7 9:27,U,2020.2.9 2:40,,204768.189,379625.6215,부화업,,1209,L00,
201,부화업,02_04_04_P,4500000,4.5E+17,2004.6.23,,2,휴업,1,휴업,,2013.12.30,2016.12.31,,,0,314-861,충청남도 공주시 우성면 귀산리,충청남도 공주시 우성면 심산길 **-**,32528,귀산,2014.2.19 21:02,I,2018.8.31 23:59,,211241.5335,333094.8816,부화업,,5,0,
202,부화업,02_04_04_P,4500000,4.5E+17,2004.6.23,,2,휴업,1,휴업,,2013.9.12,2017.12.31,,,0,314-861,,충청남도 공주시 우성면 신웅새뜸길 **-**,32528,신웅,2014.2.26 7:40,I,2018.8.31 23:59,,209007.5546,331849.2109,부화업,,6,0,
203,부화업,02_04_04_P,4490000,4.49E+17,2002.12.13,,2,휴업,1,휴업,,2022.11.14,2024.11.13,,041-567-5288,528,330-851,전라북도 김제시 금산면 용산리 ***,충청남도 천안시 동남구 북면 운용*길 **,31062,농업회사법인(주)사조원 천안부화장(북면),2022.11.24 16:50,U,2022.11.26 2:40,,223636.0775,373999.6375,부화업,,13,L00,0
204,부화업,02_04_04_P,4510000,4.51E+17,1999.12.10,,2,휴업,1,휴업,,2022.8.9,2024.8.8,,041-641-8104,468,355-823,충청남도 보령시 청소면 진죽리 ***-*,충청남도 보령시 청소면 청소큰길 ***,33418,(주)농업회사법인삼화원종 청소부화장,2022.8.8 20:59,U,2022.8.10 2:40,,163695.2415,328186.4805,부화업,,24,L00,0
205,부화업,02_04_04_P,4510000,4.51E+17,1999.12.14,,2,휴업,1,휴업,,2005.12.5,2006.12.4,,,468,355-811,충청남도 보령시 천북면 궁포리 ***-*번지,충청남도 보령시 천북면 천궁길 **-**,,농업회사법인(주)삼화육종 장은부화장,2005.12.5 12:58,I,2018.8.31 23:59,,158457.3774,332350.0238,부화업,,25,L00,
206,부화업,02_04_04_P,4510000,4.51E+17,1999.10.11,,2,휴업,1,휴업,,,,,633-2907,347,355-811,충청남도 보령시 천북면 낙동리 ***-**,,,광천부화장,2022.7.4 9:39,U,2022.7.6 2:40,,159485.9354,331590.1617,부화업,,52,0,0
207,부화업,02_04_04_P,5700000,5.7E+17,2014.3.14,,2,휴업,1,휴업,,2021.6.29,2023.6.28,,,,469-811,경기도 여주시 능서면 광대리 ***,경기도 여주시 능서면 월평로 ***-**,12647,농업회사법인(주)사조원 여주부화장,2021.6.29 10:42,U,2021.7.1 2:40,,250363.5543,417618.8511,부화업,,1292,L00,
208,부화업,02_04_04_P,5050000,5.05E+17,1996.11.7,,2,휴업,1,휴업,,2022.1.11,2024.7.1,,774-2888,3146,780-873,경상북도 경주시 천북면 물천리 ***-*,경상북도 경주시 천북면 천북남로 ***-**,38038,경주부화장,2023.6.13 14:41,U,2023.6.15 2:40,,405720.7475,266251.5625,부화업,,6,0,0
209,부화업,02_04_04_P,4710000,4.71E+17,1993.1.12,,2,휴업,1,휴업,,2009.7.24,,,547-3182,277,576-050,전라북도 김제시 옥산동 ***번지,전라북도 김제시 동서*길 *-* (옥산동),54389,삼성부화장,2013.12.31 10:46,I,2018.8.31 23:59,,189340.6314,255330.3003,부화업,,9,0,
210,부화업,02_04_04_P,4070000,4.07E+17,2002.10.10,,2,휴업,1,휴업,,2020.1.1,2023.1.1,,632-2685,0,467-811,경기도 이천시 마장면 이치리 ***-*번지,경기도 이천시 마장면 이장로 ***-*,17385,솔잎,2020.1.17 14:31,U,2020.1.19 2:40,,233530.1616,417938.3699,부화업,,27,0,
211,부화업,02_04_04_P,4050000,5.62E+17,2016.12.7,,2,휴업,1,휴업,,2022.12.15,2023.12.15,,031)8008-6395,,449-882,***-*,경기도 용인시 처인구 남사읍 천덕산로**번길 ***,17118,경기도축산진흥센터,2022.12.15 10:15,U,2023.5.26 8:48,,210406.8629,402805.6231,부화업,,805,L00,0
212,부화업,02_04_04_P,3600000,3.6E+17,1994.12.24,,2,휴업,1,휴업,,2009.2.19,2009.12.31,,374-3649,0,502-157,광주광역시 서구 마륵동 ***번지,,,현대부화장,2009.2.20 15:53,I,2018.8.31 23:59,,185769.7354,182113.8978,부화업,,6,0,
213,부화업,02_04_04_P,5210000,5.21E+17,2005.3.3,,2,휴업,1,휴업,,2023.5.24,2026.5.23,,932-1778,0,719-834,대구광역시 수성구 만촌동 ***,경상북도 성주군 선남면 신부길 **,40046,오성부화장,2023.5.30 14:11,U,2023.6.1 2:40,,348771.4833,265136.2498,부화업,,113,0,0
214,부화업,02_04_04_P,4670000,4.67E+17,2013.8.26,,2,휴업,1,휴업,,2022.10.20,2023.10.20,,063-451-0142,,573-851,전라북도 군산시 나포면 장상리 *** 주식회사 동우,"전라북도 군산시 나포면 서라로 ***, 주식회사 동우",54048,(주)동우팜투테이블 나포부화장,2023.5.11 15:50,U,2023.5.13 2:40,,187339.0806,281075.6776,부화업,,313,L00,0
215,부화업,02_04_04_P,4191000,4.19E+17,1991.4.3,,2,휴업,1,휴업,,2003.12.10,2004.3.31,,033-732-1623,0,,강원특별자치도 원주시 지정면 신평리 ***,,,삼원부화장,2003.12.11 14:08,I,2023.6.13 0:00,,278295.8296,432381.3179,부화업,,0,0,0
216,부화업,02_04_04_P,4800000,4.8E+17,2014.2.21,,2,휴업,1,휴업,,2015.11.24,2016.3.30,,,,530-410,"전라남도 목포시 대양동 ***-*번지 , ***-*",전라남도 목포시 지적로**번길 ** (대양동),58604,삼신부화장,2015.11.24 15:37,I,2018.8.31 23:59,,147667.8063,148619.4505,부화업,,23,0,
217,부화업,02_04_04_P,4920000,4.92E+17,1999.8.31,,2,휴업,1,휴업,,2020.9.11,2023.9.11,,432-2785,10000,527-811,전라남도 강진군 성전면 도림리 ***-*,전라남도 강진군 성전면 신예장등길 **,59206,부성부화장,2020.9.11 13:58,U,2020.9.13 2:40,,174434.0345,130711.5318,부화업,,6,0,
218,부화업,02_04_04_P,4950000,4.95E+17,2008.6.3,,2,휴업,1,휴업,,2014.9.29,2015.9.25,,453-3885,0,534-841,전라남도 무안군 현경면 가입리 산 **-*번지,전라남도 무안군 현경면 가입길 **-**,58509,현경부화장,2014.9.29 10:45,I,2018.8.31 23:59,,139450.0624,176635.4859,부화업,,1138,0,
219,부화업,02_04_04_P,4950000,4.95E+17,2014.4.10,,2,휴업,1,휴업,,2018.1.24,2018.4.30,,,,534-801,전라남도 무안군 무안읍 교촌리 ****번지,,,화설농장,2018.1.24 10:09,I,2018.8.31 23:59,,,,부화업,,2220,0,
220,부화업,02_04_04_P,4960000,4.96E+17,2004.8.19,,2,휴업,1,휴업,,2023.1.18,2099.1.1,,,0,525-882,전라남도 함평군 월야면 외치리 ***,전라남도 함평군 월야면 밀재로 ****-**,,쌍둥이부화장,2023.1.18 10:23,U,2023.1.20 2:40,,168911.1217,185414.4659,부화업,,7,0,0
221,부화업,02_04_04_P,4850000,4.85E+17,2000.7.12,,2,휴업,1,휴업,,2002.3.2,2003.3.3,,,0,,전라남도 담양군 금성면 원율리 ***번지,전라남도 담양군 금성면 오평길 **-*,,광주부화장,2002.10.17 10:36,I,2018.8.31 23:59,,202607.3368,205723.7759,부화업,,,0,
222,부화업,02_04_04_P,4830000,4.83E+17,2007.9.14,,2,휴업,1,휴업,,2013.10.16,2015.10.15,,061-335-5233,0,520-883,전라남도 나주시 왕곡면 송죽리 ***-*번지,,,인원부화장,2013.10.16 16:45,I,2018.8.31 23:59,,165072.6165,161801.1205,부화업,,1327,0,
223,부화업,02_04_04_P,3360000,3.36E+17,1999.4.8,,2,휴업,1,휴업,,2023.6.12,2023.12.31,,,966,618-804,부산광역시 강서구 대저*동 ***-*,부산광역시 강서구 입소정관길 *** (대저*동),46713,"한신부화장(공동명의 서정준, 서광수)",2023.7.6 10:18,U,2023.7.8 2:40,,375194.1465,186987.44,부화업,,2,0,0
224,부화업,02_04_04_P,5530000,5.53E+17,1991.4.12,,2,휴업,1,휴업,,1998.1.28,,,,0,445-913,경기도 화성시 팔탄면 율암리 산 **-**,,,대도부화장,2006.11.16 14:54,I,2020.8.5 0:23,,,,부화업,,1417,0,
225,부화업,02_04_04_P,5470000,5.47E+17,1993.2.2,,2,휴업,1,휴업,,2017.12.29,2019.12.28,,943-6036,136,670-852,경상남도 거창군 위천면 남산리 ***번지,경상남도 거창군 위천면 가현길 ***-**,50103,금곡부화장,2017.12.29 11:19,I,2018.8.31 23:59,,274794.1603,248218.2093,부화업,,3,0,
226,부화업,02_04_04_P,5050000,5.05E+17,2018.8.31,,2,휴업,1,휴업,,2022.8.22,2023.8.21,,,,,경상북도 경주시 산내면 우라리 산 ***,경상북도 경주시 산내면 가라골길 *-**,38184,산골농장,2022.8.22 18:41,U,2022.8.24 2:40,,383730.5922,261236.3572,부화업,,5404,0,0
227,부화업,02_04_04_P,4680000,4.68E+17,2000.11.2,,2,휴업,1,휴업,,2022.9.28,2025.9.28,,,0,570-210,전라북도 익산시 어양동 ***,전라북도 익산시 어곳*길 **-* (어양동),,성원,2022.9.28 16:42,U,2022.9.30 2:40,,197939.1053,274348.4271,부화업,,13,0,0
228,부화업,02_04_04_P,4080000,4.08E+17,2003.12.25,,2,휴업,1,휴업,,2017.7.15,2020.7.14,,,495,456-842,경기도 안성시 미양면 강덕리 **-*,경기도 안성시 미양면 강덕*길 **-**,,황아부화장,2020.12.28 22:11,U,2020.12.30 2:40,,220215.5241,383730.8844,부화업,,1172,0,
229,부화업,02_04_04_P,5710000,5.725E+17,1994.11.22,,2,휴업,1,휴업,,2008.6.20,2009.6.18,,269-4732,0,363-812,충청북도 청주시 서원구 남이면 갈원리 ***-*번지,충청북도 청주시 서원구 남이면 갈원산막길 *,,금정부화장,2008.6.20 17:37,I,2018.8.31 23:59,,235885.0321,340780.3659,부화업,,3,0,
230,부화업,02_04_04_P,5710000,5.73E+17,1995.2.15,,2,휴업,1,휴업,,2007.9.4,,,232-9190,0,363-912,충청북도 청주시 흥덕구 옥산면 장남리 ***번지,충청북도 청주시 흥덕구 옥산면 장남길 **-*,,옥산부화장,2015.7.22 11:31,I,2018.8.31 23:59,,231743.2782,355892.6158,부화업,,4,0,
231,부화업,02_04_04_P,4420000,4.42E+17,2010.4.5,,2,휴업,1,휴업,,2015.4.2,2016.4.1,,,0,376-832,충청북도 보은군 탄부면 대양리 *-*번지,충청북도 보은군 탄부면 대양길 ***-**,28962,푸른부화장,2015.4.2 13:42,I,2018.8.31 23:59,,272368.2919,324590.6042,부화업,,726,L00,
232,부화업,02_04_04_P,4610000,4.61E+17,2013.6.4,,3,폐업,2,폐업,2015.1.21,,,,,,340-935,충청남도 예산군 고덕면 상궁리 ***-*번지,,,(주)마니커,2015.1.21 9:28,I,2018.8.31 23:59,,177648.2391,362531.0038,부화업,,1914,L00,
233,부화업,02_04_04_P,4610000,4.61E+17,2015.1.21,,3,폐업,2,폐업,2021.12.30,,,,339-6022,,340-935,***-*,,,성화식품예산부화자,2022.1.6 15:45,U,2022.1.8 2:40,,,,부화업,,2312,L00,0
234,부화업,02_04_04_P,4600000,4.6E+17,2010.11.5,,3,폐업,2,폐업,2011.3.21,,,,,0,350-842,충청남도 홍성군 구항면 오봉리 ***-*번지 외 *필지(관련지번***),충청남도 홍성군 구항면 구성북로 ***-**,32213,희망부화장,2011.10.30 13:36,I,2018.8.31 23:59,,164585.0738,344461.4136,부화업,,3163,0,
235,부화업,02_04_04_P,4600000,4.6E+17,2011.3.21,,3,폐업,2,폐업,2012.4.13,,,,,0,350-842,충청남도 홍성군 구항면 오봉리 ***번지 외 *,충청남도 홍성군 구항면 구성북로 ***-** (외 *),,유일부화장,2012.4.16 9:29,I,2018.8.31 23:59,,164573.5491,344507.5524,부화업,,3186,0,
236,부화업,02_04_04_P,4430000,4.43E+17,1990.9.5,,3,폐업,2,폐업,2009.10.9,,,,043-542-7074,62680,373-813,충청북도 옥천군 안내면 오덕리 *-*번지,,,옥천농장,2009.10.9 15:42,I,2018.8.31 23:59,,,,부화업,,4,0,
237,부화업,02_04_04_P,3450000,3.45E+17,2008.4.14,,3,폐업,2,폐업,2021.3.31,,,,,0,702-230,대구광역시 북구 도남동 ***-*,대구광역시 북구 도남길 ***-** (도남동),,배수미농가,2021.3.31 16:44,U,2021.4.2 2:40,,343325.6645,274775.403,부화업,,129,0,
238,부화업,02_04_04_P,5130000,5.13E+17,2007.4.6,,3,폐업,2,폐업,2022.4.5,,,,,0,712-834,경상북도 경산시 진량읍 아사리 ***-*,경상북도 경산시 진량읍 금박로 ***,38479,농업회사법인비에이치주식회사,2022.4.5 18:21,U,2022.4.7 2:40,,367711.9194,265215.6152,부화업,,503,L00,0
239,부화업,02_04_04_P,5060000,5.06E+17,1999.9.1,,3,폐업,2,폐업,2004.3.8,,,,,7948,740-822,경상북도 김천시 봉산면 인의리 ***-*번지,,,삼우축산부화장,2004.4.7 9:46,I,2018.8.31 23:59,,295284.7021,295884.8235,부화업,,1,0,
240,부화업,02_04_04_P,5680000,4.63E+17,1991.3.15,,3,폐업,2,폐업,2009.7.10,,,,,0,343-820,충청남도 당진시 송악읍 기지시리 ***-*번지,,,효동부화장,2009.7.20 16:38,I,2018.8.31 23:59,,,,부화업,,24,0,
241,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,3,폐업,2,폐업,2009.12.8,,,,,0,320-871,충청남도 논산시 연산면 덕암리 ***-*번지,충청남도 논산시 연산면 선비로 ***,,만수부화장,2009.12.8 16:42,I,2018.8.31 23:59,,216205.232,303978.0149,부화업,,12,0,
242,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,3,폐업,2,폐업,2009.6.16,,,,735-0844,0,320-872,충청남도 논산시 연산면 신양리 ***번지,,,신광부화장,2009.6.16 17:40,I,2018.8.31 23:59,,219878.3522,299719.3643,부화업,,13,0,
243,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,3,폐업,2,폐업,2013.12.17,,,,741-4094,0,320-812,충청남도 논산시 채운면 심암리 **번지,,,채연부화장,2013.12.24 15:58,I,2018.8.31 23:59,,207440.3017,293832.6147,부화업,,14,0,
244,부화업,02_04_04_P,4540000,4.54E+17,2005.4.27,,3,폐업,2,폐업,2011.9.7,,,,041-742-1650,0,320-833,"충청남도 논산시 연무읍 동산리 ***-*번지 ,산***-*","충청남도 논산시 연무읍 동안로 **** (,산***-*)",,대경부화장,2011.9.14 17:22,I,2018.8.31 23:59,,211200.1767,292013.7771,부화업,,343,L00,
245,부화업,02_04_04_P,4540000,4.54E+17,2009.12.15,,3,폐업,2,폐업,2013.11.23,,,,,0,320-871,충청남도 논산시 연산면 덕암리 ***-*번지,충청남도 논산시 연산면 선비로 ***,32912,계룡부화장,2016.11.25 13:20,I,2018.8.31 23:59,,216205.232,303978.0149,부화업,,880,0,
246,부화업,02_04_04_P,4530000,4.53E+17,2002.4.15,,3,폐업,2,폐업,2018.9.21,,,,662-3809,0,356-882,충청남도 서산시 인지면 애정리 ***번지,,,신영부화장,2018.9.21 17:26,U,2018.9.21 23:59,,,,부화업,,12,0,
247,부화업,02_04_04_P,4540000,4.54E+17,1982.9.20,,3,폐업,2,폐업,2005.1.27,,,,741-5557,0,320-833,충청남도 논산시 연무읍 동산리 ***번지,,,(주)신기부화장,2005.1.27 13:31,I,2018.8.31 23:59,,,,부화업,,6,0,
248,부화업,02_04_04_P,4540000,4.54E+17,1985.12.24,,3,폐업,2,폐업,2004.11.17,,,,733-6111,0,320-871,충청남도 논산시 연산면 표정리 ***번지,충청남도 논산시 연산면 선비로 ***-**,,익산부화장,2004.11.17 10:44,I,2018.8.31 23:59,,216666.1483,302794.1177,부화업,,8,0,
249,부화업,02_04_04_P,4540000,4.54E+17,1989.2.24,,3,폐업,2,폐업,1989.2.25,,,,741-4094,0,320-812,충청남도 논산시 채운면 심암리 **번지,,,채연부화장,2005.8.22 18:14,I,2018.8.31 23:59,,207440.3017,293832.6147,부화업,,450,0,
250,부화업,02_04_04_P,4540000,4.54E+17,1992.2.28,,3,폐업,2,폐업,1992.2.29,,,,735-0844,0,320-872,충청남도 논산시 연산면 신양리 ***번지,,,신광부화장,2005.8.22 18:24,I,2018.8.31 23:59,,219878.3522,299719.3643,부화업,,451,0,
251,부화업,02_04_04_P,4540000,4.54E+17,1994.1.26,,3,폐업,2,폐업,1995.1.26,,,,733-6111,0,320-871,충청남도 논산시 연산면 덕암리 ***-*번지,,,벧엘부화장,2005.8.22 18:29,I,2018.8.31 23:59,,,,부화업,,452,0,
252,부화업,02_04_04_P,4540000,4.54E+17,1994.1.26,,3,폐업,2,폐업,2006.10.9,,,,735-0707,0,320-873,충청남도 논산시 연산면 화악리 ***번지,충청남도 논산시 연산면 화악*길 **-*,,(주)지산농원,2006.10.9 11:23,I,2018.8.31 23:59,,219946.1896,305634.228,부화업,,7,L00,
253,부화업,02_04_04_P,4520000,4.52E+17,2004.6.22,,3,폐업,2,폐업,2008.11.6,,,,,0,336-822,충청남도 아산시 영인면 창용리 **번지,충청남도 아산시 영인면 아산호로 ***-**,,진일부화장,2008.11.6 11:58,I,2018.8.31 23:59,,198201.4541,379091.4788,부화업,,11,0,
254,부화업,02_04_04_P,4520000,4.52E+17,2003.2.18,,3,폐업,2,폐업,2004.7.23,,,,,0,336-822,충청남도 아산시 영인면 신봉리 ***-*번지,,,계림부화장,2004.7.26 11:45,I,2018.8.31 23:59,,197234.7656,376496.4117,부화업,,25,0,
