번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),법인구분명,구분명
1179,무료직업소개소,11_50_01_P,4530000,2.01245E+18,2012.6.11,,1,영업/정상,20,영업중,,,,,041 663 3063,,356-020,충청남도 서산시 읍내동 114번지 1호,충청남도 서산시 읍내3로 28 (읍내동),356-805,서산상공회의소,2018.7.18 14:06,I,2018.10.9 15:19,,150739.2167,364411.6042,법인,무료
1180,무료직업소개소,11_50_01_P,4530000,2.01645E+18,2016.6.13,,1,영업/정상,20,영업중,,,,,041 668 2028,,31933,충청남도 서산시 성연면 166번지,충청남도 서산시 성연면 가재미길 38,31933,서산시니어클럽,2023.1.19 16:39,U,2023.5.26 8:48,,149705.5021,368740.6356,법인,무료
1181,무료직업소개소,11_50_01_P,3180000,2.01832E+18,2018.10.26,,1,영업/정상,20,영업중,,,,,02  37710411,,,서울특별시 영등포구 여의도동 28번지 1호 전국경제인연합회회관,"서울특별시 영등포구 여의대로 24, 전국경제인연합회회관 3층 (여의도동)",7320,(사)국제경영원,2022.4.15 14:12,U,2022.4.17 2:40,,192880.9461,446664.7874,법인,무료
1182,무료직업소개소,11_50_01_P,5710000,2.02257E+18,2022.8.8,,1,영업/정상,20,영업중,,,,,432220801,,,충청북도 청주시 상당구 문화동 69-3,"충청북도 청주시 상당구 대성로 99, 스타빌딩 2층 (문화동)",28516,사단법인 한국산업진흥협회,2023.6.19 14:51,U,2023.6.21 2:40,,243961.2079,348219.3014,법인,무료
1183,무료직업소개소,11_50_01_P,3030000,2.0223E+18,2022.7.6,,1,영업/정상,20,영업중,,,,,02  64950287,,,,"서울특별시 성동구 왕십리로 115, 헤이그라운드 서울숲점 3층 (성수동1가)",4768,사단법인 루트임팩트,2022.7.6 8:49,I,2022.7.8 0:22,,203835.0011,449508.1162,법인,무료
1184,무료직업소개소,11_50_01_P,3630000,2.02236E+18,2022.8.4,,1,영업/정상,20,영업중,,,,,,,,,"광주광역시 광산구 광주여대길 45, 광주여자대학교 어등관 (산정동)",62396,광주여자대학교산학협력단,2022.8.4 10:50,I,2022.8.6 0:22,,181356.0425,184971.9462,법인,무료
1185,무료직업소개소,11_50_01_P,3700000,2.02237E+18,2022.8.23,,1,영업/정상,20,영업중,,,,,052 922 7707,,,,"울산광역시 남구 수암로 5, 2층 (신정동)",44730,사단법인 나은내일연구원,2022.8.23 9:36,I,2022.8.25 0:22,,409353.8326,228282.8396,법인,무료
1186,무료직업소개소,11_50_01_P,4680000,2.02247E+18,2022.7.5,,1,영업/정상,20,영업중,,,,,,,,,"전라북도 익산시 하나로 445, 3층 (영등동)",54546,(사)캠틱종합기술원(익산시일자리센터),2022.7.5 14:34,I,2022.7.7 0:22,,198208.3048,273313.23,법인,무료
1187,무료직업소개소,11_50_01_P,5130000,2.02251E+18,2022.8.1,,1,영업/정상,20,영업중,,,,,,,,,"경상북도 경산시 원효로7길 36, 102호 (중방동)",38618,(사)한국마이스터정책연구원,2022.8.1 17:25,I,2022.8.3 0:22,,357011.1249,259680.2549,법인,무료
1188,무료직업소개소,11_50_01_P,5220000,2.02252E+18,2022.8.26,,1,영업/정상,20,영업중,,,,,054 973 7016,,,,"경상북도 칠곡군 왜관읍 평장2길 20, 칠곡여성인력개발센터",39899,칠곡여성인력개발센터,2022.8.26 18:54,I,2022.8.28 0:22,,326656.96,277232.7148,법인,무료
1189,무료직업소개소,11_50_01_P,5070000,2.02251E+18,2022.8.28,,1,영업/정상,20,영업중,,,,,,,,,"경상북도 안동시 풍산읍 산업단지2길 5, 경북바이오산업연구원",36618,(재)경북바이오산업연구원,2022.8.28 20:06,I,2022.8.30 0:22,,338347.0818,344831.0965,법인,무료
1190,무료직업소개소,11_50_01_P,4800000,2.02248E+18,2020.5.13,,1,영업/정상,20,영업중,,,,,061 284 2841,,,전라남도 목포시 옥암동 969-6 3층,"전라남도 목포시 백년대로 383, 미래직업능력개발학원 3층 (옥암동)",58663,(재)전남인력개발원,2022.8.31 17:14,U,2022.9.2 2:40,,147605.2559,145630.1635,법인,무료
1191,무료직업소개소,11_50_01_P,3240000,2.02232E+18,2022.8.24,,1,영업/정상,20,영업중,,,,,24716300,,,,"서울특별시 강동구 천호대로151길 36, 동서울아카데미 5층 507호 (천호동)",5248,(사)미래융합기술산업,2022.8.24 19:02,I,2022.8.26 0:22,,210852.3388,448718.2847,법인,무료
1192,무료직업소개소,11_50_01_P,6520000,2.02265E+18,2022.7.14,,1,영업/정상,20,영업중,,,,,,,,,"제주특별자치도 서귀포시 부두로 3, 서귀포YWCA (서귀동)",63596,사단법인서귀포YWCA,2022.7.14 10:10,I,2022.7.16 0:22,,159439.3798,-27836.64559,법인,무료
1193,무료직업소개소,11_50_01_P,3700000,2.02237E+18,2022.7.15,,1,영업/정상,20,영업중,,,,,,,,,"울산광역시 남구 신정로116번길 36, 3층 (신정동)",44687,사단법인 스마트모빌리티기술원,2022.7.15 11:24,I,2022.7.17 0:22,,410630.1054,229486.7766,법인,무료
1194,무료직업소개소,11_50_01_P,5130000,2.02251E+18,2022.8.5,,1,영업/정상,20,영업중,,,,,,,,,경상북도 경산시 진량읍 공단9로12길 25,38463,재단법인 경북아이티융합산업기술원,2022.8.5 16:48,I,2022.8.7 0:22,,365734.2837,264105.0577,법인,무료
1195,무료직업소개소,11_50_01_P,5250000,2.02253E+18,2022.8.9,,1,영업/정상,20,영업중,,,,,,,,,"경상북도 울진군 죽변면 해양과학길 22, (재)환동해산업연구원",36315,재단법인 환동해산업연구원,2022.8.9 18:02,I,2022.8.11 0:22,,414130.7395,399597.9063,법인,무료
1196,무료직업소개소,11_50_01_P,5710000,2.02257E+18,2022.8.17,,1,영업/정상,20,영업중,,,,,,,,,"충청북도 청주시 청원구 대성로 298, 청주대학교 1층 (내덕동)",28503,청주대학교 산학협력단,2022.9.19 13:46,U,2022.9.21 2:40,,244081.8184,350246.2877,법인,무료
1197,무료직업소개소,11_50_01_P,3520000,2.02235E+18,2022.8.18,,1,영업/정상,20,영업중,,,,,3204421499,,,,"인천광역시 연수구 능허대로 136, kt송도 빌딩 (옥련동)",21960,(사)한국능력평가협회,2022.11.29 17:21,U,2023.5.26 8:48,,168470.6041,435453.6528,법인,무료
1198,무료직업소개소,11_50_01_P,5130000,2.02251E+18,2022.8.2,,1,영업/정상,20,영업중,,,,,,,,,"경상북도 경산시 하양읍 하양로 13-13, 대구가톨릭대학교 산학협력관 308호",38430,사단법인 경북프라이드기업 씨이오협회,2022.8.2 18:27,I,2022.8.4 0:22,,,,법인,무료
1199,무료직업소개소,11_50_01_P,5180000,2.01552E+18,2015.9.2,,1,영업/정상,20,영업중,,,,,054 734 4685,,,,경상북도 영덕군 영덕읍 도매샛길 37-10,36431,(사)경상북도 장애인권익협회 영덕군지회,2015.11.5 10:40,I,2018.8.31 23:59,,412734.3808,326128.6595,법인,무료
1200,무료직업소개소,11_50_01_P,5180000,2.01752E+18,2017.5.17,,1,영업/정상,20,영업중,,,,,547329044,,,,경상북도 영덕군 영덕읍 군청길 132 (영덕군노인회관),36429,(사)대한노인회영덕군지회,2022.4.20 10:16,U,2022.4.22 2:40,,412097.3827,326221.6132,법인,무료
1201,무료직업소개소,11_50_01_P,5220000,2.00052E+18,2000.3.11,,1,영업/정상,20,영업중,,,,,549740850,,718-803,경상북도 칠곡군 왜관읍 삼청리 1101번지,경상북도 칠곡군 왜관읍 공단로1길 7,718-800,칠곡상공회의소,2022.6.24 18:07,U,2022.6.26 2:40,,328508.7482,275857.8338,법인,무료
1202,무료직업소개소,11_50_01_P,5220000,2.01552E+18,2015.2.25,,1,영업/정상,20,영업중,,,,,054 973 7016,,,,경상북도 칠곡군 왜관읍 평장2길 20,718-806,칠곡여성인력개발센터,2023.3.30 13:50,U,2023.5.26 8:48,,326656.96,277232.7148,법인,무료
1203,무료직업소개소,11_50_01_P,5050000,2.00951E+18,2009.12.29,,1,영업/정상,20,영업중,,,,,,,,경상북도 경주시 성동동 233-5,"경상북도 경주시 동문로 50, 3층 (성동동)",38139,사단법인 가경서비스지원센터,2022.10.24 16:32,U,2022.10.26 2:40,,399970.2181,263224.9755,법인,무료
1204,무료직업소개소,11_50_01_P,5050000,2.01451E+18,2014.5.28,,1,영업/정상,20,영업중,,,,,054 770 3509,,780-711,경상북도 경주시 충효동 165번지 서라벌대학교,"경상북도 경주시 태종로 516 (충효동, 서라벌대학교)",780-711,서라벌대학교,2022.12.5 9:14,U,2022.12.7 2:40,,397333.8877,262151.334,법인,무료
1205,무료직업소개소,11_50_01_P,5110000,2.00051E+18,2000.12.20,,1,영업/정상,20,영업중,,,,,054 534 6933,,,,경상북도 상주시 만산8길 11 (만산동),742-260,상주시장애인복지회관무료직업소개소,2021.6.14 9:40,U,2021.6.16 2:40,,303477.9396,327419.9207,법인,무료
1206,무료직업소개소,11_50_01_P,5110000,2.00851E+18,2008.1.31,,1,영업/정상,20,영업중,,,,,054 536 6580,,,경상북도 상주시 남성동 50번지,경상북도 상주시 중앙로 146 (남성동),,상주지역자활센터,2022.8.6 16:11,U,2022.8.8 2:40,,303438.2596,324461.2961,법인,무료
1207,무료직업소개소,11_50_01_P,5110000,2.01351E+18,2013.5.28,,1,영업/정상,20,영업중,,,,,054 533 5841,,,경상북도 상주시 성하동 10번지 1호,경상북도 상주시 중앙로 224 (성하동),,상주상공회의소,2022.3.28 17:27,U,2022.3.30 2:40,,304243.3165,324491.8612,법인,무료
1208,무료직업소개소,11_50_01_P,5110000,2.01751E+18,2017.7.12,,1,영업/정상,20,영업중,,,,,545310730,,,,경상북도 상주시 양촌3길 13 (양촌동),37227,상주시조합공동사업법인,2022.8.6 15:57,U,2022.8.8 2:40,,302616.2729,317891.5165,법인,무료
1209,무료직업소개소,11_50_01_P,5070000,2.00251E+18,2002.10.2,,1,영업/정상,20,영업중,,,,,,,760-190,경상북도 안동시 목성동 36번지 3호 9통 1반,경상북도 안동시 목성교길 9 (목성동),760-190,(사)한국음식업중앙회무료직업소개소,2014.4.28 15:27,I,2018.8.31 23:59,,354710.8405,342084.202,개인,무료
1210,무료직업소개소,11_50_01_P,5070000,2.00351E+18,2003.12.26,,1,영업/정상,20,영업중,,,,,8588219,,,경상북도 안동시  766번지 1호 17통 4반 세영두레마을 101동 1207호,경상북도 안동시 복주2길 39 (옥동),760-310,안동YMCA무료취업센터,2022.3.29 8:55,U,2022.3.31 2:40,,352009.1642,341475.79,법인,무료
1211,무료직업소개소,11_50_01_P,5070000,2.00351E+18,2003.12.30,,1,영업/정상,20,영업중,,,,,,,,경상북도 안동시 운흥동 211호 8통 1반,경상북도 안동시 동흥2길 10 (운흥동),,장애인무료직업소개소,2020.8.5 14:23,U,2020.8.7 2:40,,355251.671,341733.4661,법인,무료
1212,무료직업소개소,11_50_01_P,5070000,1.99951E+18,1999.6.22,,1,영업/정상,20,영업중,,,,,,,,경상북도 안동시 옥동 974번지 8통 6반 주공1아파트 206동 913호,경상북도 안동시 은행나무로 106-6 (옥동),760-755,전국건설노동자무료취업알선센터안동센터,2020.8.4 13:45,U,2020.8.6 2:40,,351734.6334,341989.5287,개인,무료
1213,무료직업소개소,11_50_01_P,5070000,1.99951E+18,1999.11.25,,1,영업/정상,20,영업중,,,,,,,760-280,경상북도 안동시 운안동 산 92번지 1호 11통 5반 명성한마음타운 302동 605호,경상북도 안동시 단원로 81-8 (운안동),760-280,대한YWCA연합회후원회안동YWCA무료직업소개소,2014.4.28 15:04,I,2018.8.31 23:59,,353250.9867,342705.3937,개인,무료
1214,무료직업소개소,11_50_01_P,5070000,1.99951E+18,1999.10.20,,1,영업/정상,20,영업중,,,,,,,,경상북도 안동시 태화동 645번지 2호 26통 3반,경상북도 안동시 말구리5길 19-7 (태화동),760-290,휴게업종사자무료직업소개소,2020.8.4 15:55,U,2020.8.6 2:40,,352575.2071,341958.6179,개인,무료
1215,무료직업소개소,11_50_01_P,5070000,2.00051E+18,2000.10.19,,1,영업/정상,20,영업중,,,,,0054 8418203,,,경상북도 안동시 동문동 130 2층,"경상북도 안동시 서동문로 215, 2층 (동문동)",36703,경북지적발달장애인복지협회,2022.11.10 18:04,U,2022.11.12 2:40,,355307.1769,341916.328,법인,무료
1216,무료직업소개소,11_50_01_P,5070000,2.00251E+18,2002.3.26,,1,영업/정상,20,영업중,,,,,054 853 9740,,,경상북도 안동시 옥야동 321번지 3호,경상북도 안동시 영호6길 31 (옥야동),,경북농아인협회안동지부무료직업소개소,2020.8.4 16:13,U,2020.8.6 2:40,,354314.5793,341454.4669,법인,무료
1217,무료직업소개소,11_50_01_P,5190000,2.01752E+18,2017.5.19,,1,영업/정상,20,영업중,,,,,054 373 9688,,,경상북도 청도군 청도읍 고수리 3번지,경상북도 청도군 청도읍 한내길 68 (청도군노인복지회관),38339,(사)대한노인회 청도군지회(취업지원센터),2021.11.29 14:15,U,2021.12.1 2:40,,357771.1473,240435.1758,법인,무료
1218,무료직업소개소,11_50_01_P,5240000,2.01352E+18,2013.1.28,,1,영업/정상,20,영업중,,,,,054 6724185,,,,경상북도 봉화군 봉화읍 봉화로 1164,755-801,경북봉화지역자활센터,2015.1.5 16:08,I,2018.8.31 23:59,,,,법인,무료
1219,무료직업소개소,11_50_01_P,5240000,2.01752E+18,2017.5.22,,1,영업/정상,20,영업중,,,,,054 673 8866,,,,경상북도 봉화군 봉화읍 내성로4길 20 (봉화복지회관),36238,(사)대한노인회 봉화군지회 노인취업지원센터,2017.5.22 9:03,I,2018.8.31 23:59,,355166.3823,377845.7627,법인,무료
1220,무료직업소개소,11_50_01_P,5090000,2.00451E+18,2004.12.22,,1,영업/정상,20,영업중,,,,,546390550,,,,경상북도 영주시 대학로142번길 130-1 (가흥동),36135,영주시종합사회복지관,2022.3.25 11:00,U,2022.3.27 2:40,,,,법인,무료
1221,무료직업소개소,11_50_01_P,5090000,2.01451E+18,2014.3.24,,1,영업/정상,20,영업중,,,,,054 917 3355,,,경상북도 영주시 가흥동 1478번지 7호,"경상북도 영주시 원당로19번길 29, 1층 (가흥동)",36101,영주시니어클럽,2023.5.12 16:49,U,2023.5.14 2:40,,344285.8306,369806.0059,법인,무료
1222,무료직업소개소,11_50_01_P,5090000,2.01651E+18,2016.2.3,,1,영업/정상,20,영업중,,,,,546328830,,,,"경상북도 영주시 선비로 182 (영주동, 영주상공회의소)",36099,영주상공회의소,2020.5.29 14:58,U,2020.6.2 2:40,,344438.3075,370035.5515,법인,무료
1223,무료직업소개소,11_50_01_P,5090000,2.01751E+18,2017.5.18,,1,영업/정상,20,영업중,,,,,546316065,,,,경상북도 영주시 원당로 64 (가흥동),36106,(사)대한노인회 영주시지회,2018.1.26 13:20,I,2018.8.31 23:59,,344656.2271,369947.5795,법인,무료
1224,무료직업소개소,11_50_01_P,5100000,2.00451E+18,2004.6.7,,1,영업/정상,20,영업중,,,,,5433333535,,,경상북도 영천시 야사동 280번지 2호,경상북도 영천시 보목2길 10 (야사동),770-903,영천시장애인종합복지관,2022.6.23 14:28,U,2022.6.25 2:40,,375058.1961,276273.3432,법인,무료
1225,무료직업소개소,11_50_01_P,5100000,2.00551E+18,2005.3.25,,1,영업/정상,20,영업중,,,,,543310350,,,경상북도 영천시 완산동 1000번지 79호,경상북도 영천시 완산6길 19-6 (완산동),770-906,(사)한국농아인협회 경상북도협회 영천시지회,2021.9.28 17:33,U,2021.9.30 2:40,,374925.7824,275812.8933,법인,무료
1226,무료직업소개소,11_50_01_P,5070000,2.00751E+18,2007.3.28,,1,영업/정상,20,영업중,,,,,054 843 8219,,,경상북도 안동시 대석동 145-1 2층,"경상북도 안동시 서동문로 126, 2층 (대석동)",36696,실업극복안동시민운동본부,2023.7.21 10:28,U,2023.7.23 2:40,,354416.7499,341981.9858,법인,무료
1227,무료직업소개소,11_50_01_P,5070000,2.00851E+18,2008.4.16,,1,영업/정상,20,영업중,,,,,5408587283,,,경상북도 안동시  도촌리 846번지 1호,경상북도 안동시 북후면 광평2길 106-25,760-891,경상북도장애인종합복지관무료직업소개소,2019.12.31 9:30,U,2020.1.2 2:40,,350317.1915,351972.7279,법인,무료
1228,무료직업소개소,11_50_01_P,5070000,2.01251E+18,2012.12.14,,1,영업/정상,20,영업중,,,,,054 859 3090,,760-110,경상북도 안동시 운흥동 300번지 6호,경상북도 안동시 축제장길 240 (운흥동),760-110,안동상공회의소,2018.2.20 13:09,I,2018.8.31 23:59,,355154.4268,341365.6321,법인,무료
1229,무료직업소개소,11_50_01_P,5070000,2.01451E+18,2014.1.24,,1,영업/정상,20,영업중,,,,,054 8549333,,,경상북도 안동시 서후면 교리 477번지 31호,경상북도 안동시 서후면 교리운곡길 17,760-822,공감 무료직업소개소,2020.8.4 13:37,U,2020.8.6 2:40,,348176.4693,343980.8373,법인,무료
1230,무료직업소개소,11_50_01_P,5070000,2.01551E+18,2015.3.31,,1,영업/정상,20,영업중,,,,,054 841 2330,,,경상북도 안동시 옥동 984번지 1호 안동시근로자복지회관,"경상북도 안동시 옥동1길 19, 안동시근로자복지회관 (옥동)",36664,해피복지서비스센터,2018.2.20 12:59,I,2018.8.31 23:59,,352063.5428,341141.5644,법인,무료
1231,무료직업소개소,11_50_01_P,5070000,2.01751E+18,2017.2.3,,1,영업/정상,20,영업중,,,,,548412330,,,경상북도 안동시 옥동 984번지 1호 안동시근로자복지회관,"경상북도 안동시 옥동1길 19, 안동시근로자복지회관 (옥동)",36664,안동시근로자종합복지관,2021.11.16 17:34,U,2021.11.18 2:40,,352063.5428,341141.5644,법인,무료
1232,무료직업소개소,11_50_01_P,3700000,2.00037E+18,2000.9.26,,1,영업/정상,20,영업중,,,,,052  2665686,,,울산광역시 남구 무거동 1469번지 7호 28통 1반,울산광역시 남구 남부순환도로29번길 10 (무거동),,(사)울산광역시시각장애인복지연합회무료직업소개소,2022.4.14 10:56,U,2022.4.16 2:40,,405368.8747,229827.1744,법인,무료
1233,무료직업소개소,11_50_01_P,3700000,2.00537E+18,2005.7.8,,1,영업/정상,20,영업중,,,,,052 271 2289,,,울산광역시 남구 신정동 1232번지 3호 1통 1반,울산광역시 남구 삼산로 16 (신정동),,(사)한국음식중앙회 울산광역시지회 남구지부,2010.5.27 11:20,I,2018.8.31 23:59,,409419.3974,228317.116,법인,무료
1234,무료직업소개소,11_50_01_P,3710000,2.01837E+18,2018.2.19,,1,영업/정상,20,영업중,,,,,,,,울산광역시 동구 일산동 581-17 일산새마을금고,"울산광역시 동구 대학길 169, 일산새마을금고 4층 (일산동)",44068,울산동구시니어클럽,2023.3.17 14:18,U,2023.3.19 2:40,,420127.8586,224656.781,법인,무료
1235,무료직업소개소,11_50_01_P,5680000,2.01257E+18,2012.12.3,,1,영업/정상,20,영업중,,,,,041 357 2500,,,충청남도 당진시 수청동 1071번지 경제종합지원센타,"충청남도 당진시 남부로 256, 경제종합지원센타 (수청동)",31778,당진상공회의소,2018.1.2 10:57,I,2018.8.31 23:59,,168277.6231,376090.933,법인,무료
1236,무료직업소개소,11_50_01_P,5680000,2.01357E+18,2013.2.26,,1,영업/정상,20,영업중,,,,,041 353 6188,,,,"충청남도 당진시 북문길 1-12 (읍내동, 안신타워)",31769,당진시니어클럽,2016.2.19 17:36,I,2018.8.31 23:59,,166877.0674,377102.369,법인,무료
1237,무료직업소개소,11_50_01_P,4520000,2.00245E+18,2001.8.28,,1,영업/정상,20,영업중,,,,,041 546 1515,,,충청남도 아산시 권곡동 538-11,충청남도 아산시 번영로143번길 36 (권곡동),31515,(사)충청남도지체장애인협회아산지회,2020.7.24 14:17,U,2020.7.26 2:40,,200645.9765,365269.1172,법인,무료
1238,무료직업소개소,11_50_01_P,4520000,2.00345E+18,2003.8.18,,1,영업/정상,20,영업중,,,,,041 541 9339,,,충청남도 아산시 온천동 768번지 0호,"충청남도 아산시 남산로 96-14, 1층 101호 (온천동)",31573,한국장애인사랑나눔협회 아산시장애인일자리지원센터,2021.3.3 15:09,U,2021.3.5 2:40,,200243.7044,364134.644,법인,무료
1239,무료직업소개소,11_50_01_P,4540000,2.00245E+18,2002.11.21,,1,영업/정상,20,영업중,,,,,,,,충청남도 논산시 화지동 164호 3통,충청남도 논산시 해월로125번길 26 (화지동),,논산시무료장애인직업소개소,2021.5.31 9:15,U,2021.6.2 2:40,,207326.8387,300463.4427,개인,무료
1240,무료직업소개소,11_50_01_P,4540000,2.00445E+18,2004.8.23,,1,영업/정상,20,영업중,,,,,041 735 9984,,,충청남도 논산시 연산면 한전리 337번지 8호 2통,충청남도 논산시 연산면 한전2길 45-13,,보람의 집,2013.5.3 13:24,I,2018.8.31 23:59,,216768.7724,300490.118,법인,무료
1241,무료직업소개소,11_50_01_P,4580000,2.00746E+18,2007.12.6,,1,영업/정상,20,영업중,,,,,041 953 2091,,,충청남도 서천군 서천읍 군사리 859번지 14호 한일자동펌프,"충청남도 서천군 서천읍 충절로41번길 12, 2층",33642,서천지역자활센터,2018.3.27 7:56,I,2018.8.31 23:59,,171792.1648,286268.9633,법인,무료
1242,무료직업소개소,11_50_01_P,4580000,2.01246E+18,2012.3.9,,1,영업/정상,20,영업중,,,,,041 950 1253,,325-871,충청남도 서천군 종천면 종천리 37번지 6호,충청남도 서천군 종천면 충서로302번길 88-8,325-871,서천군장애인종합복지관,2023.2.11 8:38,U,2023.2.13 2:40,,168949.8143,289847.5275,법인,무료
1243,무료직업소개소,11_50_01_P,4580000,2.01746E+18,2017.11.13,,1,영업/정상,20,영업중,,,,,,,,충청남도 서천군 서천읍 화금리 661번지 9호 그린빌아파트 103호,"충청남도 서천군 서천읍 서문로 81, 103호 (그린빌아파트)",33633,서천시니어클럽,2018.10.30 11:28,U,2018.11.1 2:38,,173082.8669,286817.8763,법인,무료
1244,무료직업소개소,11_50_01_P,4440000,2.01544E+18,2015.1.20,,1,영업/정상,20,영업중,,,,,437457713,,,,충청북도 영동군 영동읍 성안길 8 (여성회관 3층),370-807,(사)레인보우영동개발원 영동여성새로일하기센터,2019.7.3 15:54,U,2019.7.5 2:40,,269327.5669,297579.0405,법인,무료
1245,무료직업소개소,11_50_01_P,4440000,2.01544E+18,2015.1.23,,1,영업/정상,20,영업중,,,,,437457713,,,,충청북도 영동군 영동읍 성안길 8 (여성회관 3층),370-807,(사)레인보우영동개발원 영동여성새로일하기센터,2015.1.23 8:49,I,2018.8.31 23:59,,269327.5669,297579.0405,법인,무료
1246,무료직업소개소,11_50_01_P,4470000,2.01045E+18,2010.1.27,,1,영업/정상,20,영업중,,,,,043 883 2900,,,충청북도 음성군 금왕읍 무극리 149번지 6호,충청북도 음성군 금왕읍 무극로309번길 43-6,369-905,음성군장애인복지관무료직업소개소,2023.2.23 13:28,U,2023.2.25 2:40,,253005.589,388232.9307,법인,무료
1247,무료직업소개소,11_50_01_P,4470000,2.01645E+18,2016.2.15,,1,영업/정상,20,영업중,,,,,043 883 8006,,,충청북도 음성군 금왕읍 무극리 80-10,"충청북도 음성군 금왕읍 금석로 57-2, 2층",27636,(사)행복나눔복지회 음성시니어클럽 무료직업소개소,2021.11.23 9:15,U,2021.11.25 2:40,,253175.4206,387849.3059,법인,무료
1248,무료직업소개소,11_50_01_P,5590000,2.01556E+18,2015.4.13,,1,영업/정상,20,영업중,,,,,3108294182,,,경기도 양주시 산북동 333번지 9호,경기도 양주시 평화로 1285 (산북동),11497,내일사회적협동조합,2020.6.24 17:41,U,2020.6.26 2:40,,203924.6247,478139.2488,법인,무료
1249,무료직업소개소,11_50_01_P,5700000,2.00541E+18,2005.2.11,,1,영업/정상,20,영업중,,,,,,,469-108,경기도 여주시 교동 45번지 22호,경기도 여주시 세종로 319 (교동),469-108,여주지역자활센터직업소개소,2022.7.18 16:42,U,2022.7.20 2:40,,256548.6773,418801.2698,개인,무료
1250,무료직업소개소,11_50_01_P,5700000,2.00941E+18,2009.8.5,,1,영업/정상,20,영업중,,,,,031 881 0050,,,경기도 여주시 상동 351번지 1호,경기도 여주시 여흥로 160-27 (상동),12621,여주실버인력뱅크직업소개소,2021.7.20 10:55,U,2021.7.22 2:40,,256833.1901,421580.9928,법인,무료
1251,무료직업소개소,11_50_01_P,3910000,2.01339E+18,2013.5.6,,1,영업/정상,20,영업중,,,,,031 692 2362,,,경기도 평택시 팽성읍 남산리 3번지 6호,경기도 평택시 팽성읍 노와길 447,17998,에바다장애인종합복지관,2017.10.18 8:49,I,2018.8.31 23:59,,206908.3712,383355.292,법인,무료
1252,무료직업소개소,11_50_01_P,3910000,2.01539E+18,2015.3.9,,1,영업/정상,20,영업중,,,,,031 658 7264,,,경기도 평택시 통복동 81번지 6호 2층,경기도 평택시 중앙1로 46 (통복동),17894,한비조일자리지원본부,2020.5.6 20:23,U,2020.5.8 2:40,,207743.85,388445.3125,법인,무료
1253,무료직업소개소,11_50_01_P,3820000,2.01238E+18,2012.12.4,,1,영업/정상,20,영업중,,,,,031 853 6681,,,경기도 의정부시 신곡1동 801번지 1호,경기도 의정부시 추동로 140 (신곡동),480-070,경기북부상공회의소,2022.7.7 15:21,U,2022.7.9 2:40,,206067.2306,471636.9272,법인,무료
1254,무료직업소개소,11_50_01_P,3910000,2.00339E+18,2003.3.4,,1,영업/정상,20,영업중,,,,,,,,경기도 평택시 서정동 591번지 25호 7통 2반,경기도 평택시 신창로45번길 29 (서정동),,사단법인 송탄관광특구 무료직업소개소,2013.5.3 9:52,I,2018.8.31 23:59,,204111.5156,396861.5265,법인,무료
1255,무료직업소개소,11_50_01_P,3130000,2.00231E+18,2002.9.3,,1,영업/정상,20,영업중,,,,,203331452,,,서울특별시 마포구 도화동 37번지 B23호,"서울특별시 마포구 마포대로 44, 지하1층 B23호 (도화동, 진도빌딩)",4174,N.G.O.한국장애인경영자협회무료직업소개소,2019.10.29 9:41,U,2019.10.31 2:40,,195251.2304,448634.7563,법인,무료
1256,무료직업소개소,11_50_01_P,3130000,2.00731E+18,2007.3.16,,1,영업/정상,20,영업중,,,,,02  719 6307,,,서울특별시 마포구 용강동 70번지,서울특별시 마포구 토정로35길 17 (용강동),121-875,서울시중부여성발전센터,2022.6.29 13:57,U,2022.7.2 2:40,,194979.9434,448726.781,법인,무료
1257,무료직업소개소,11_50_01_P,3130000,2.00731E+18,2007.4.24,,1,영업/정상,20,영업중,,,,,263600525,,121-881,서울특별시 마포구  140번지 마포노인종합복지관 2층,"서울특별시 마포구 서강로 68, 2층 (창전동, 마포노인종합복지관 )",121-881,시립마포노인종합복지관(고령자 취업알선사업),2023.3.30 18:32,U,2023.4.1 2:40,,193939.5277,449631.2765,법인,무료
1258,무료직업소개소,11_50_01_P,3150000,2.00832E+18,2008.6.9,,1,영업/정상,20,영업중,,,,,36653831,,,서울특별시 강서구 가양2동 1466번지,서울특별시 강서구 허준로 65 (가양동),,기쁜우리복지관취업정보뱅크,2022.3.4 9:36,U,2022.3.6 2:40,,186581.7955,451892.9895,법인,무료
1259,무료직업소개소,11_50_01_P,3150000,2.00832E+18,2008.11.28,,1,영업/정상,20,영업중,,,,,02  36613401,,,서울특별시 강서구 가양동 1470번지 2호,서울특별시 강서구 허준로5길 37 (가양동),,늘푸른나무복지관 취업알선센터,2022.7.25 16:47,U,2022.7.27 2:40,,186779.825,451818.9552,법인,무료
