일반명코드,제형구분코드,제형,일반명,분류번호,투여,함량,단위
A39300CPO,PO,카타플라스마제,thymol,264,외용,16.5,mg
A39400CLQ,LQ,액제,dexpanthenol,264,외용,50,mg
A39400CLQ,LQ,액제,lidocaine hydrochloride,264,외용,15,mg
A39400CLQ,LQ,액제,mepiramine maleate,264,외용,15,mg
A39600CCM,CM,"크림제,겔제,젤리",allantoin,490,외용,3,mg
A39600CCM,CM,"크림제,겔제,젤리",dexpanthenol,490,외용,4,mg
A39600CCM,CM,"크림제,겔제,젤리",heparin sodium,490,외용,500,I.U
A39700ACS,CS,연질캡슐제,cytidine-5-monophosphate disodium,399,내복,5,mg
A39700ACS,CS,연질캡슐제,hydroxocobalamin,399,내복,2,mg
A39700ACS,CS,연질캡슐제,uridine-5`-triphosphate trisodium,399,내복,3,mg
A39800AGN,GN,"과립제,세립",caffeine anhydrous,235,내복,20,mg
A39800AGN,GN,"과립제,세립",meclizine HCl,235,내복,25,mg
A39800AGN,GN,"과립제,세립",scopolamine HBr,235,내복,0.05,mg
A39900APD,PD,산제,bacillus mesentericus toa,237,내복,50,mg
A39900APD,PD,산제,clostridium butyricum toa,237,내복,50,mg
A39900APD,PD,산제,lactomin,237,내복,10,mg
A40000ATB,TB,"정제,저작정",acetaminophen,114,내복,0.15,g
A40000ATB,TB,"정제,저작정",caffeine,114,내복,30,mg
A40000ATB,TB,"정제,저작정",ethenzamide,114,내복,0.19,g
A40100ATB,TB,"정제,저작정",ascorbic acid granule 97%,319,내복,0.241,g
A40100ATB,TB,"정제,저작정",sodium ascorbate,319,내복,0.3,g
A40100ATB,TB,"정제,저작정",zinc oxide,319,내복,13,mg
A40200AGN,GN,"과립제,세립",bacillus polyfermenticus n.sp.,237,내복,66.68,mg
A40200AGN,GN,"과립제,세립",pyridoxine hydrochloride(3배산),237,내복,12,mg
A40200AGN,GN,"과립제,세립",riboflavin(3배산),237,내복,3.5,mg
A40300ATB,TB,"정제,저작정",acetaminophen,114,내복,0.3,g
A40300ATB,TB,"정제,저작정",ethenzamide,114,내복,0.2,g
A40300ATB,TB,"정제,저작정",salicylamide,114,내복,50,mg
A40500ASY,SY,"시럽제,건조시럽",anise oil,229,내복,8.35,mg
A40500ASY,SY,"시럽제,건조시럽",thymi herba fluid ext.,229,내복,41.75,mg
A40600CCM,CM,"크림제,겔제,젤리",phosphoric acid,231,외용,9.4,mg
A40600CCM,CM,"크림제,겔제,젤리",sodium fluoride,231,외용,28.82,mg
A40700ATB,TB,"정제,저작정",loperamide hydrochloride,237,내복,2,mg
A40700ATB,TB,"정제,저작정",simethicone,237,내복,0.125,g
A40800ACS,CS,연질캡슐제,tocopherol acetate,218,내복,45,I.U
A40800ACS,CS,연질캡슐제,unsaponifiable matter of soybean oil,218,내복,200,mg
A40900AGN,GN,"과립제,세립",ascorbic acid coated,319,내복,167,mg
A40900AGN,GN,"과립제,세립",riboflavin,319,내복,0.83,mg
A41000CLQ,LQ,액제,chlorhexidine gluconate solution,261,외용,25,μL
A41000CLQ,LQ,액제,isopropyl alcohol,261,외용,0.7,mL
A41100CSI,SI,분무제 및 흡입제,chlorhexidine gluconate solution,132,외용,0.25,mL
A41100CSI,SI,분무제 및 흡입제,oxybuprocaine hydrochloride,132,외용,0.01,g
A41200ACS,CS,연질캡슐제,ascorbic acid,315,내복,500,mg
A41200ACS,CS,연질캡슐제,tocopherol,315,내복,200,I.U
A41300ACS,CS,연질캡슐제,lecithin,315,내복,1000,mg
A41300ACS,CS,연질캡슐제,tocopherol,315,내복,149,I.U
A41400ACS,CS,연질캡슐제,tocopherol,315,내복,400,I.U
A41400ACS,CS,연질캡슐제,zinc gluconate,315,내복,150,mg
A41500ATE,TE,장용정제,convallariae 70% methanol ext.,219,내복,50,mg
A41500ATE,TE,장용정제,squill 80% denatured ethanol ext.,219,내복,83.33,mg
A41600APD,PD,산제,meclizine hydrochloride,235,내복,25,mg(25mg/g)
A41600APD,PD,산제,scopolamine hydrobromide,235,내복,0.1,mg(0.1mg/g)
A41800ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",aluminum hydroxideㆍmagnesium carbonate xerogel,237,내복,6.25,mg
A41800ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",dioctahedral smectite,237,내복,150,mg
A41900APD,PD,산제,aluminum hydroxideㆍmagnesium carbonate xerogel,237,내복,0.125,g
A41900APD,PD,산제,dioctahedral smectite,237,내복,3,g
A42000CLQ,LQ,액제,ethanol 96%,261,외용,557,mg
A42000CLQ,LQ,액제,propanol,261,외용,210,mg
A42201ACH,CH,경질캡슐제,garlic powder,218,내복,330,mg
A42202ATB,TB,"정제,저작정",garlic powder,219,내복,0.3,g
A42300CCM,CM,"크림제,겔제,젤리",polyethylene glycol 400,139,외용,200,mg
A42300CCM,CM,"크림제,겔제,젤리",propylene glycol,139,외용,150,mg
A42400ATE,TE,장용정제,bisacodyl,238,내복,5,mg
A42400ATE,TE,장용정제,senna methanol dried ext.(1000→7),238,내복,13.33,mg
A42500ATB,TB,"정제,저작정",calcium citrate,321,내복,0.71,g
A42500ATB,TB,"정제,저작정",cholecalciferol (as vitamin D3),321,내복,200,I.U
A42700AGN,GN,"과립제,세립",ascorbic acid,314,내복,200,mg
A42700AGN,GN,"과립제,세립",calcium pantothenate,314,내복,5,mg
A42700ATB,TB,"정제,저작정",ascorbic acid,314,내복,200,mg
A42700ATB,TB,"정제,저작정",calcium pantothenate,314,내복,5,mg
A43000CPO,PO,카타플라스마제,capsicum ext.,264,외용,42,mg
A43000CPO,PO,카타플라스마제,indometacin,264,외용,52.5,mg
A43100CPL,PL,"경고제,첩부제",capsicum soft ext.(15→1),264,외용,0.895475,mg
A43100CPL,PL,"경고제,첩부제",gardenia fruit ext.(8→1),264,외용,12.7925,mg
A43200ALQ,LQ,액제,갈근탕연조엑스,114,내복,2.5,g
A43200ALQ,LQ,액제,acetaminophen,114,내복,400,mg
A43300ALQ,LQ,액제,acetaminophen,114,내복,0.4,g(4mg/mL)
A43300ALQ,LQ,액제,갈근탕연조엑스(2.78→1),114,내복,1.5,g(15mg/mL)
A43400ATB,TB,"정제,저작정",갈근탕엑스(10→1),114,내복,30,mg
A43400ATB,TB,"정제,저작정",acetaminophen,114,내복,30,mg
A43500ALQ,LQ,액제,acetaminophen,114,내복,0.2,g(2mg/mL)
A43500ALQ,LQ,액제,진광탕연조엑스,114,내복,1.25,g(12.5mg/mL)
A43600ATE,TE,장용정제,bile ext.,233,내복,25,mg
A43600ATE,TE,장용정제,pancreatin,233,내복,170,mg
A43700COM,OM,연고제,sodium fusidate,269,외용,20,mg
A43700COM,OM,연고제,titrated ext. of centella asiatca,269,외용,10,mg
A43800ALQ,LQ,액제,cyanocobalamin,399,내복,0.1,mg
A43800ALQ,LQ,액제,inosine,399,내복,30,mg
A43900ATB,TB,"정제,저작정",desogestrel,254,내복,0.15,mg
A43900ATB,TB,"정제,저작정",ethinyl estradiol,254,내복,20,μg
A44000AMS,MS,기타제형,dimenhydrinate,235,내복,10,mg
A44000AMS,MS,기타제형,pyridoxine hydrochloride,235,내복,25,mg
A44100ACS,CS,연질캡슐제,pyridoxine HCl,329,내복,1.5,mg
A44100ACS,CS,연질캡슐제,soybean hydrolysate,329,내복,750,mg
A44200CLT,LT,로션제,chlorhexidine gluconate solution,261,외용,53.25,mg
A44200CLT,LT,로션제,ethanol,261,외용,657.8,mg
A44300ASY,SY,"시럽제,건조시럽",guaifenesin,222,내복,10,mg
A44300ASY,SY,"시럽제,건조시럽",pseudoephedrine HCl,222,내복,3,mg
A44400ALQ,LQ,액제,ascorbic acid,329,내복,450,mg
A44400ALQ,LQ,액제,magnesium potassium L-aspartate,329,내복,400,mg
A44500CSI,SI,분무제 및 흡입제,chlorpheniramine maleate,132,외용,5,mg
A44500CSI,SI,분무제 및 흡입제,naphazoline HCl,132,외용,0.5,mg
A44603BIJ,IJ,주사제,zinc sulfate,322,주사,24.6,mg
A44700ATB,TB,"정제,저작정",ascorbic acid,316,내복,1000,mg
A44700ATB,TB,"정제,저작정",pyridoxine HCl,316,내복,10,mg
A44800CLT,LT,로션제,lactic acid,269,외용,57,mg
A44800CLT,LT,로션제,sodium pyrrolidonecarboxylate 50% solution,269,외용,50,mg
A44901ACH,CH,경질캡슐제,green tea ext.,399,내복,0.375,g
A45000CLQ,LQ,액제,benzalkonium chloride solution 50%,261,외용,9.85,mg
A45000CLQ,LQ,액제,chlorhexidine gluconate solution 20%,261,외용,10.65,mg
A45100ATB,TB,"정제,저작정",benfotiamine,316,내복,0.1,g
A45100ATB,TB,"정제,저작정",pyridoxine hydrochloride,316,내복,0.1,g
A45200ATB,TB,"정제,저작정",ascorbic acid,316,내복,750,mg
A45200ATB,TB,"정제,저작정",ubidecarenone,316,내복,5,mg
A45300ATB,TB,"정제,저작정",ascorbic acid,119,내복,0.5,g
A45300ATB,TB,"정제,저작정",L-arginine-L-aspartate,119,내복,1.5,g
A45400ATB,TB,"정제,저작정",berberine tannate,237,내복,100,mg
A45400ATB,TB,"정제,저작정",scopolia ext.(3배산),237,내복,60,mg
A45500ATB,TB,"정제,저작정",retinol acetate,316,내복,0.8,mg
A45500ATB,TB,"정제,저작정",riboflavin,316,내복,15,mg
A45600ATB,TB,"정제,저작정",cetylpyridinium chloride,231,내복,1,mg
A45600ATB,TB,"정제,저작정",platycodon root ext.(4→1),231,내복,25,mg
A45700ATB,TB,"정제,저작정",magnolia bark 75% ethanol soft ext.(5→1),231,내복,70,mg
A45700ATB,TB,"정제,저작정",titrated ext. of the unsaponifiable fraction of zea mays L.,231,내복,35,mg
A45800ATB,TB,"정제,저작정",pancreatin,233,내복,170,mg
A45800ATB,TB,"정제,저작정",simethicone,233,내복,94.43,mg
A45900ATB,TB,"정제,저작정",mallotus japonicus ext.,239,내복,140,mg
A45900ATB,TB,"정제,저작정",pipethanate HCl,239,내복,3,mg
A46100ATB,TB,"정제,저작정",ascorbic acid,314,내복,1000,mg
A46100ATB,TB,"정제,저작정",calcium pantothenate,314,내복,5,mg
A46200AMS,MS,기타제형,cetylpyridinium chloride,231,내복,2,mg
A46200AMS,MS,기타제형,sodium fluoride,231,내복,0.5,mg
A46300ACM,CM,"크림제,겔제,젤리","aluminum phosphate, colloidal",234,내복,12.4,g
A46300ACM,CM,"크림제,겔제,젤리",d-mannitol,234,내복,3.51,g
A46400ACS,CS,연질캡슐제,γ-oryzanol,315,내복,10,mg
A46400ACS,CS,연질캡슐제,tocopherol,315,내복,1,KI.U
A46500CLQ,LQ,액제,fluorouracil-5,266,외용,5,mg
A46500CLQ,LQ,액제,salicylic acid,266,외용,0.1,g
A46600CLQ,LQ,액제,iodine,261,외용,7,mg
A46600CLQ,LQ,액제,isopropanol,261,외용,740,mg
A46700ATB,TB,"정제,저작정",acetaminophen,114,내복,270,mg
A46700ATB,TB,"정제,저작정",caffeine anhydrous,114,내복,30,mg
A46700ATB,TB,"정제,저작정",salicylamide,114,내복,200,mg
A46700ATB,TB,"정제,저작정",tiemonium iodide,114,내복,5,mg
A46800ATB,TB,"정제,저작정",acetaminophen,114,내복,0.3,g
A46800ATB,TB,"정제,저작정",ethenzamide,114,내복,0.3,g
A46900ATB,TB,"정제,저작정",albumin tannate,237,내복,165,mg
A46900ATB,TB,"정제,저작정",bismuth subnitrate,237,내복,165,mg
A47000ATB,TB,"정제,저작정",mannitol,114,내복,90,mg
A47000ATB,TB,"정제,저작정",mefenamic acid,114,내복,500,mg
A47100AGN,GN,"과립제,세립",ascorbic acid,314,내복,600,mg
A47100AGN,GN,"과립제,세립",sodium ascorbate,314,내복,450,mg
A47100APD,PD,산제,ascorbic acid,314,내복,600,mg
A47100APD,PD,산제,sodium ascorbate,314,내복,450,mg
A47200AGN,GN,"과립제,세립",ascorbic acid,314,내복,300.03,mg
A47200AGN,GN,"과립제,세립",sodium ascorbate,314,내복,224.96,mg
A47300AGN,GN,"과립제,세립",ascorbic acid,314,내복,400,mg
A47300AGN,GN,"과립제,세립",sodium ascorbate,314,내복,675,mg
A47400ATB,TB,"정제,저작정",meclizine HCl,235,내복,25,mg
A47400ATB,TB,"정제,저작정",scopolamine HBr,235,내복,0.25,mg
A47600CLQ,LQ,액제,ethanol,269,외용,0.28,ml
A47600CLQ,LQ,액제,salicylic acid,269,외용,5,mg
A47700CPL,PL,"경고제,첩부제",capsicum powder,264,외용,345.8,mg
A47700CPL,PL,"경고제,첩부제",capsicum tinc.,264,외용,34.58,mg
A47700CPL,PL,"경고제,첩부제",methyl salicylate,264,외용,103.74,mg
A47800ACS,CS,연질캡슐제,diphenylpyraline HCl,141,내복,4,mg
A47800ACS,CS,연질캡슐제,dl-methylephedrine HCl,141,내복,36.67,mg
A47900COM,OM,연고제,neomycin sulfate,269,외용,3.5,mg
A47900COM,OM,연고제,titrated ext. of centella asiatca,269,외용,10,mg
A48000COM,OM,연고제,sodium bicarbonate,132,외용,72,mg
A48000COM,OM,연고제,sodium chloride,132,외용,28,mg
A48100ATB,TB,"정제,저작정",biodiastase 2000Ⅱ,233,내복,0.1,g
A48100ATB,TB,"정제,저작정",pancreatin enteric granule,233,내복,0.1,g
A48200CPO,PO,카타플라스마제,capsicum ext.,264,외용,8.3,mg
A48200CPO,PO,카타플라스마제,L-menthol,264,외용,30,mg
A48300COM,OM,연고제,hydrocortisone acetate,264,외용,10,mg
A48300COM,OM,연고제,sodium fusidate,264,외용,20,mg
A48400ATB,TB,"정제,저작정",biodiastase 2000 Ⅰ,234,내복,50,mg
A48400ATB,TB,"정제,저작정",hydrotalcite,234,내복,250,mg
A48500CCM,CM,"크림제,겔제,젤리",potassium nitrate,231,외용,50,mg
A48500CCM,CM,"크림제,겔제,젤리",sodium monofluorophosphate,231,외용,11.53,mg
A48600CMS,MS,기타제형,precipitated sulfur,266,외용,10,g
A48600CMS,MS,기타제형,salicylic acid,266,외용,3,g
A48700ATB,TB,"정제,저작정",L-menthol,229,내복,7.4,mg
A48700ATB,TB,"정제,저작정",pectin,229,내복,9,mg
A48800ATB,TB,"정제,저작정",L-menthol,229,내복,10,mg
A48800ATB,TB,"정제,저작정",pectin,229,내복,9,mg
A48900ATB,TB,"정제,저작정",calcium pantothenate,238,내복,2.5,mg
A48900ATB,TB,"정제,저작정",carboxymethylcellulose calcium,238,내복,500,mg
A49000ATB,TB,"정제,저작정",eslase,233,내복,40,mg
A49000ATB,TB,"정제,저작정",sodium bicarbonate,233,내복,250,mg
A49101ACH,CH,경질캡슐제,essential phospholipids(EPL) substance,391,내복,0.3,g
A49102BIJ,IJ,주사제,essential phospholipids(EPL) substance,391,주사,250,mg
A49200ACS,CS,연질캡슐제,copper chlorophyllin,311,내복,0.3,mg
A49200ACS,CS,연질캡슐제,ergocalciferol,311,내복,200,I.U
A49200ACS,CS,연질캡슐제,retinol palmitate oil,311,내복,2,mg
A49200ACS,CS,연질캡슐제,snake oil,311,내복,0.2967,g
A49300ALQ,LQ,액제,betaine,391,내복,50,mg
A49300ALQ,LQ,액제,betaine hydrochloride,391,내복,50,mg
A49300ALQ,LQ,액제,citric acid,391,내복,29.4,mg
A49300ALQ,LQ,액제,L-arginine,391,내복,73.1,mg
A49400ACH,CH,경질캡슐제,cobamamide,119,내복,1,mg
A49400ACH,CH,경질캡슐제,cyproheptadine orotate,119,내복,1.5,mg
A49400ACH,CH,경질캡슐제,dl-carnitine hydrochloride,119,내복,0.15,g
A49400ACH,CH,경질캡슐제,L-lysine hydrochloride,119,내복,0.15,g
A49501ACS,CS,연질캡슐제,taurine,329,내복,0.5,g
A49601ACS,CS,연질캡슐제,pollen,259,내복,500,mg
A49701CDS,DS,스폰지 및 드레싱,chlorhexidine acetate,262,외용,0.05,mg
A49702CLQ,LQ,액제,chlorhexidine acetate,231,외용,100,mg
A49703CDS,DS,스폰지 및 드레싱,chlorhexidine acetate,262,외용,1.25,mg
A49704CDS,DS,스폰지 및 드레싱,chlorhexidine acetate,262,외용,15,mg
A49705CDS,DS,스폰지 및 드레싱,chlorhexidine acetate,262,외용,75,mg
A49900ACH,CH,경질캡슐제,acetaminophen,222,내복,33.3,mg
A49900ACH,CH,경질캡슐제,guaifenesin,222,내복,33.3,mg
A49900ACH,CH,경질캡슐제,oxomemazine hydrochloride,222,내복,1.83,mg
A49900ACH,CH,경질캡슐제,sodium benzoate,222,내복,33.3,mg
A50000ATB,TB,"정제,저작정",acetaminophen,114,내복,200,mg
A50000ATB,TB,"정제,저작정",benzyl mandelate,114,내복,50,mg
A50000ATB,TB,"정제,저작정",caffeine,114,내복,50,mg
A50000ATB,TB,"정제,저작정",isopropylantipyrine,114,내복,200,mg
A50100ACS,CS,연질캡슐제,acetaminophen,114,내복,0.15,g
A50100ACS,CS,연질캡슐제,caffeine anhydrous,114,내복,8.33,mg
A50100ACS,CS,연질캡슐제,chlorpheniramine maleate,114,내복,1.25,mg
A50100ACS,CS,연질캡슐제,dl-methylephedrine hydrochloride,114,내복,10,mg
A50200ACS,CS,연질캡슐제,allium ext.(100→1),398,내복,40,mg
A50200ACS,CS,연질캡슐제,γ-oryzanol,398,내복,10,mg
A50200ACS,CS,연질캡슐제,riboflavin butyrate,398,내복,20,mg
A50200ACS,CS,연질캡슐제,tocopherol acetate,398,내복,0.1,g
A50300ACS,CS,연질캡슐제,belladonna ext.,141,내복,10,mg
A50300ACS,CS,연질캡슐제,chlorpheniramine maleate,141,내복,2,mg
A50300ACS,CS,연질캡슐제,dl-methylephedrine HCl,141,내복,18,mg
A50300ACS,CS,연질캡슐제,lysozyme chloride,141,내복,10,mg
A50400CCM,CM,"크림제,겔제,젤리",crotamiton,269,외용,50,mg
A50400CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,269,외용,1.5,mg
A50400CCM,CM,"크림제,겔제,젤리",thymol,269,외용,1,mg
A50400CCM,CM,"크림제,겔제,젤리",tocopherol acetate,269,외용,5,mg
A50500ATB,TB,"정제,저작정",fursultiamine hydrochloride,312,내복,9.1,mg
A50500ATB,TB,"정제,저작정",mecobalamin,312,내복,0.5,mg
A50500ATB,TB,"정제,저작정",pyridoxine hydrochloride,312,내복,16.66,mg
A50500ATB,TB,"정제,저작정",tocopherol acetate,312,내복,33.3,mg
A50600ATB,TB,"정제,저작정",cyanocobalamin,119,내복,0.5,mg
A50600ATB,TB,"정제,저작정",cyproheptadine orotate,119,내복,0.75,mg
A50600ATB,TB,"정제,저작정",dl-carnitine hydrochloride,119,내복,75,mg
A50600ATB,TB,"정제,저작정",L-lysine hydrochloride,119,내복,75,mg
A50700ASY,SY,"시럽제,건조시럽",caffeine anhydrous,141,내복,0.3125,mg
A50700ASY,SY,"시럽제,건조시럽",chlorpheniramine maleate,141,내복,83.3,μg
A50700ASY,SY,"시럽제,건조시럽",dipotassium glycyrrhizinate,141,내복,0.4167,mg
A50700ASY,SY,"시럽제,건조시럽",dl-methylephedrine hydrochloride,141,내복,0.625,mg
A50800ACH,CH,경질캡슐제,acetaminophen,114,내복,0.125,g
A50800ACH,CH,경질캡슐제,lysozyme chloride,114,내복,10,mg
A50800ACH,CH,경질캡슐제,pseudoephedrine hydrochloride,114,내복,7.5,mg
A50800ACH,CH,경질캡슐제,triprolidine hydrochloride,114,내복,0.625,mg
A50900ACH,CH,경질캡슐제,acetaminophen,114,내복,0.2,g
A50900ACH,CH,경질캡슐제,caffeine anhydrous,114,내복,15,mg
A50900ACH,CH,경질캡슐제,chlorpheniramine maleate,114,내복,1.25,mg
A50900ACH,CH,경질캡슐제,phenylephrine hydrochloride,114,내복,5,mg
A51000ACS,CS,연질캡슐제,ergocalciferol,398,내복,100,I.U
A51000ACS,CS,연질캡슐제,γ-oryzanol,398,내복,3,mg
A51000ACS,CS,연질캡슐제,tocopherol acetate,398,내복,50,mg
A51000ACS,CS,연질캡슐제,vitamin A oil,398,내복,1,KI.U
A51100ATB,TB,"정제,저작정",acetaminophen,114,내복,60,mg
A51100ATB,TB,"정제,저작정",ascorbic acid,114,내복,0.166,g
A51100ATB,TB,"정제,저작정",caffeine anhydrous,114,내복,25,mg
A51100ATB,TB,"정제,저작정",ephedrine hydrochloride,114,내복,25,mg
A51200ACH,CH,경질캡슐제,acetaminophen,114,내복,0.2,g
A51200ACH,CH,경질캡슐제,dextromethorphan hydrobromide,114,내복,8,mg
A51200ACH,CH,경질캡슐제,guaifenesin,114,내복,40,mg
A51200ACH,CH,경질캡슐제,pseudoephedrine hydrochloride,114,내복,10,mg
A51300ACH,CH,경질캡슐제,cyanocobalamin,322,내복,0.5,mg
A51300ACH,CH,경질캡슐제,folic acid,322,내복,0.5,mg
A51300ACH,CH,경질캡슐제,pyridoxine hydrochloride,322,내복,50,mg
A51300ACH,CH,경질캡슐제,sodium ferric gluconate complex,322,내복,99.4,mg
A51401ATB,TB,"정제,저작정",nicotine resinate,799,내복,8.33,mg
A51402AMS,MS,기타제형,nicotine resinate,799,내복,11.11,mg
A51403AMS,MS,기타제형,Nicotine Resinate,799,내복,14.9,mg
A51404AMS,MS,기타제형,Nicotine Resinate,799,내복,29.9,mg
A51501ATB,TB,"정제,저작정",menthol,229,내복,5,mg
A51502CCM,CM,"크림제,겔제,젤리",menthol,264,외용,70,mg
A51503ATB,TB,"정제,저작정",menthol,229,내복,10,mg
A51701COM,OM,연고제,nitrofurazone,263,외용,2,mg
A51702CDS,DS,스폰지 및 드레싱,nitrofurazone,263,외용,7.8816,mg
A51801ATB,TB,"정제,저작정",nicotine tartrate,799,내복,3.072,mg
A51802ATB,TB,"정제,저작정",nicotine tartrate,799,내복,6.144,mg
A51901ATB,TB,"정제,저작정",glucosamine HCl,114,내복,750,mg
A52000ACS,CS,연질캡슐제,retinol palmitate,131,내복,3.3,mg
A52000ACS,CS,연질캡슐제,riboflavin sodium phosphate,131,내복,2,mg
A52000ACS,CS,연질캡슐제,bilberry fruit dried ext. 3%,131,내복,20,mg
A52000ACS,CS,연질캡슐제,bilberry fruit dried powder,131,내복,40,mg
A52100ACS,CS,연질캡슐제,γ-oryzanol,398,내복,2.5,mg
A52100ACS,CS,연질캡슐제,retinol palmitate,398,내복,750,I.U
A52100ACS,CS,연질캡슐제,tocopherol acetate,398,내복,50,mg
A52100ACS,CS,연질캡슐제,wheat germ oil,398,내복,84.25,mg
A52200COS,OS,점안제(점안액),aminocaproic acid,131,외용,10,mg
A52200COS,OS,점안제(점안액),chlorpheniramine maleate,131,외용,0.1,mg
A52200COS,OS,점안제(점안액),naphazoline hydrochloride,131,외용,20,μg
A52200COS,OS,점안제(점안액),neostigmine methylsulfate,131,외용,20,μg
A52500ACH,CH,경질캡슐제,acetaminophen,114,내복,0.2,g
A52500ACH,CH,경질캡슐제,dextromethorphan hydrobromide,114,내복,8,mg
A52500ACH,CH,경질캡슐제,guaifenesin,114,내복,40,mg
A52500ACH,CH,경질캡슐제,pseudoephedrine hydrochloride,114,내복,15,mg
A52500ATB,TB,"정제,저작정",acetaminophen,114,내복,0.2,g
A52500ATB,TB,"정제,저작정",dextromethorphan hydrobromide,114,내복,8,mg
A52500ATB,TB,"정제,저작정",guaifenesin,114,내복,40,mg
A52500ATB,TB,"정제,저작정",pseudoephedrine hydrochloride,114,내복,15,mg
A52600ACH,CH,경질캡슐제,berberine tannate,237,내복,50,mg
A52600ACH,CH,경질캡슐제,bismuth subnitrate,237,내복,100,mg
A52600ACH,CH,경질캡슐제,scopolia ext. powder(10배산),237,내복,50,mg
A52600ACH,CH,경질캡슐제,ursodeoxycholic acid,237,내복,2,mg
A52700ATB,TB,"정제,저작정",acetaminophen,114,내복,0.5,g
A52700ATB,TB,"정제,저작정",cyanocobalamin,114,내복,0.1,mg
A52700ATB,TB,"정제,저작정",pyridoxine hydrochloride,114,내복,0.1,g
A52700ATB,TB,"정제,저작정",thiamine nitrate,114,내복,50,mg
A52900ACH,CH,경질캡슐제,belladonna total alkaloid,141,내복,0.13,mg
A52900ACH,CH,경질캡슐제,chlorpheniramine maleate,141,내복,4,mg
A52900ACH,CH,경질캡슐제,lysozyme chloride,141,내복,30,mg
A52900ACH,CH,경질캡슐제,phenylephrine hydrochloride,141,내복,3.33,mg
A53000ACS,CS,연질캡슐제,aloe ext.,236,내복,25,mg
A53000ACS,CS,연질캡슐제,milk thistle fruit ext.,236,내복,0.1,g
A53000ACS,CS,연질캡슐제,chelidonii herba ext.,236,내복,25,mg
A53000ACS,CS,연질캡슐제,curcuma root ext.,236,내복,50,mg
A53100ATB,TB,"정제,저작정",ammonium chloride,222,내복,0.2,g
A53100ATB,TB,"정제,저작정",chlorpheniramine maleate,222,내복,3,mg
A53100ATB,TB,"정제,저작정",dextromethorphan hydrobromide,222,내복,15,mg
A53100ATB,TB,"정제,저작정",dl-methylephedrine hydrochloride,222,내복,26.25,mg
A53200ATB,TB,"정제,저작정",ammonium chloride,222,내복,0.2,g
A53200ATB,TB,"정제,저작정",chlorpheniramine maleate,222,내복,2.5,mg
A53200ATB,TB,"정제,저작정",dextromethorphan hydrobromide,222,내복,15,mg
A53200ATB,TB,"정제,저작정",dl-methylephedrine hydrochloride,222,내복,25,mg
A53300ACS,CS,연질캡슐제,acetaminophen,114,내복,0.325,g
A53300ACS,CS,연질캡슐제,chlorpheniramine maleate,114,내복,2.5,mg
A53300ACS,CS,연질캡슐제,dextromethorphan hydrobromide,114,내복,16,mg
A53300ACS,CS,연질캡슐제,pseudoephedrine hydrochloride,114,내복,30,mg
A53400ATB,TB,"정제,저작정",acetaminophen,114,내복,0.4,g
A53400ATB,TB,"정제,저작정",chlorpheniramine maleate,114,내복,2,mg
A53400ATB,TB,"정제,저작정",dextromethorphan hydrobromide,114,내복,15,mg
A53400ATB,TB,"정제,저작정",pseudoephedrine hydrochloride,114,내복,30,mg
A53500ASY,SY,"시럽제,건조시럽",ammonium chloride,222,내복,10,mg
A53500ASY,SY,"시럽제,건조시럽",chlorpheniramine maleate,222,내복,0.15,mg
A53500ASY,SY,"시럽제,건조시럽",dextromethorphan hydrobromide,222,내복,0.75,mg
A53500ASY,SY,"시럽제,건조시럽",dl-methylephedrine hydrochloride,222,내복,0.9,mg
A53600COM,OM,연고제,bacitracin zinc,269,외용,500,I.U
A53600COM,OM,연고제,bacitracin zinc,269,외용,500,U
A53600COM,OM,연고제,neomycin sulfate,269,외용,3.5,mg
A53600COM,OM,연고제,polymixin B sulfate,269,외용,10000,U
A53600COM,OM,연고제,pramoxine hydrochloride,269,외용,10,mg
A53700APD,PD,산제,ascorbic acid coated,316,내복,260.42,mg
A53700APD,PD,산제,pyridoxine HCl,316,내복,5,mg
A53700APD,PD,산제,riboflavin sodium phosphate,316,내복,2,mg
A53700APD,PD,산제,ubidecarenone,316,내복,5,mg
A53800ATB,TB,"정제,저작정",acetaminophen,114,내복,0.2,g
A53800ATB,TB,"정제,저작정",chlorpheniramine maleate,114,내복,1.2,mg
A53800ATB,TB,"정제,저작정",cloperastine hydrochloride,114,내복,8,mg
A53800ATB,TB,"정제,저작정",pseudoephedrine hydrochloride,114,내복,15,mg
A53900ATB,TB,"정제,저작정",acetaminophen,114,내복,0.2,g
A53900ATB,TB,"정제,저작정",chlorpheniramine maleate,114,내복,1,mg
A53900ATB,TB,"정제,저작정",dextromethorphan hydrobromide,114,내복,8,mg
A53900ATB,TB,"정제,저작정",pseudoephedrine hydrochloride,114,내복,15,mg
A54000ACS,CS,연질캡슐제,belladonna ext.,141,내복,10.64,mg
A54000ACS,CS,연질캡슐제,caffeine anhydrous,141,내복,50,mg
A54000ACS,CS,연질캡슐제,diphenhydramine hydrochloride,141,내복,25,mg
A54000ACS,CS,연질캡슐제,lysozyme chloride,141,내복,20,mg
A54100ACS,CS,연질캡슐제,lecithin,398,내복,60,mg
A54100ACS,CS,연질캡슐제,oryzanol(γ),398,내복,3.33,mg
