영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Kobe Airport,고베 공항,UKB,RJBE,아시아,Japan,일본,Kobe
Kochi Airport,고치 공항,KCZ,RJOK,아시아,Japan,일본,Kochi
Kogalym Airport,코갤름 공항,KGP,USRK,유럽,Russia,러시아,Kogalym
Kokura Airport,고쿠라 공항,KKJ,RJFR,아시아,Japan,일본,Kitakyushu
Kolda North Airport,콜다 공항,KDA,GOGK,아프리카,Senegal,세네갈,Kolda
Kolhapur Airport,콜하푸르 공항,KLH,VAKP,아시아,India,인도,Kolhapur
Koltsovo International Airport ,콜트소보 국제공항 ,SVX,USSS,유럽,Russia,러시아,Ekaterinburg
Komaki Airport,코마키 공항,NKM,RJNA,아시아,Japan,일본,Nagoya
Komatsu Airport,코마쓰 공항,KMQ,RJNK,아시아,Japan,일본,Komatsu
Komsomolsk-on-Amur Airport,콤소몰스크-어-아무르 공항,KXK,UHKK,유럽,Russia,러시아,Komsomolsk Na Amure
Kona International Airport ,코나 국제공항 ,KOA,PHKO,북미,United States,미국,Kailua-Kona HI
Konarak Airport,코나락 공항,ZBR,OIZC,중동,Iran,이란,Chabahar
Kone Airport,콘 공항,KNQ,NWWD,대양주,New Caledonia,뉴칼레도니아,Kone
Konya Airport,코니아 공항,KYA,LTAN,유럽,Turkey,터키,Konya
Kopitnari Airport,코핏나리 공항,KUT,UGKO,아시아,Georgia,조지아,Kutaisi
Korla Airport,쿠얼러 고이륵 공항,KRL,ZWKL,아시아,Hong Kong,홍콩,Korla
Kota Airport,코타 공항,KTU,VIKO,아시아,India,인도,Kota
Kota Kinabalu International Airport,코타키나발루 국제공항,BKI,WBKK,아시아,Malaysia,말레이시아,Kota Kinabalu
Kotoka Airport,코타카 공항,ACC,DGAA,아프리카,Ghana,가나,Accra
Kowanyama Airport,코와야마 공항,KWM,YKOW,대양주,Australia,오스트레일리아,Kowanyama
Krabi Airport,크라비 공항,KBV,VTSG,아시아,Thailand,태국,Krabi
Kramfors Airport,크람포르스 공항,KRF,ESNK,유럽,Sweden,스웨덴,Kramfors
Kranebitten Airport,크래인비튼 공항,INN,LOWI,유럽,Austria,오스트리아,Innsbruck
Krasnoyarsk Yemelyanovo Airport,크로스노야르스크 공항,KJA,UNKL,유럽,Russia,러시아,Krasnojarsk
Kristianstad Airport,크리스티안스타드 공항,KID,ESMK,유럽,Sweden,스웨덴,Kristianstad
Kruger Mpumalanga International Airport,쿠루거 음푸마랑가 국제공항,MQP,FAKN,아프리카,South Africa,남아프리카,Nelspruit
Krumovo International Airport,쿠루모포 국제공항,PDV,LBPD,유럽,Bulgaria,불가리아,Plovdiv
Kruunupyy Airport,쿠루누피 공항,KOK,EFKK,유럽,Finland,핀란드,Kronoby
Kuala Lumpur International Airport,콸라룸푸르 국제공항,KUL,WMKK,아시아,Malaysia,말레이시아,Kuala Lumpur
Kualanamu International Airport,쿠알라룸푸 국제 공항,KNO,WIMM,아시아,Indonesia,인도네시아,Medan
Kuantan Airport,콴탄 공항,KUA,WMKD,아시아,Malaysia,말레이시아,Kuantan
Kuching International Airport,쿠칭 국제공항,KCH,WBGG,아시아,Malaysia,말레이시아,Kuching
Kudat Airport,쿠닷 공항,KUD,WBKT,아시아,Malaysia,말레이시아,Kudat 
Kumamoto Airport,구마모토 공항,KMJ,RJFT,아시아,Japan,일본,Kumamoto
Kumbhirgram Airport,쿰비히그람 공항,IXS,VEKU,아시아,India,인도,Silchar
Kumejima Airport,큐메지마 공항,UEO,ROKJ,아시아,Japan,일본,Kumejima
Kungsangen Airport,쿤상겐 공항,NRK,ESSP,유럽,Sweden,스웨덴,Norrkoping
Kunming Changshui International Airport,쿤밍 창수이 국제공항,KMG,ZPPP,아시아,Hong Kong,홍콩,Kunming
Kununurra Airport,쿤누누라 공항,KNX,YPKU,대양주,Australia,오스트레일리아,Kununurra
Kuopio Airport,쿠오피오 공항,KUO,EFKU,유럽,Finland,핀란드,Kuopio
Kuqa Airport,쿠가 공항,KCA,ZWKC,아시아,Hong Kong,홍콩,Kuche
Kursk Vostochny Airport,쿠르스크 보스토치니 공항,URS,UUOK,유럽,Russia,러시아,Kursk 
Kurumoch Airport,쿠루모치 공항,KUF,UWWW,유럽,Russia,러시아,Samara
Kushiro Airport,쿠시로 공항,KUH,RJCK,아시아,Japan,일본,Kushiro
Kuusamo Airport,쿠사모 공항,KAO,EFKS,유럽,Finland,핀란드,Kuusamo
Kuwait International Airport,쿠웨이트 국제공항,KWI,OKBK,중동,Kuwait,쿠웨이트,Kuwait
Kvernberget Airport,크베르베르케트 공항,KSU,ENKB,유럽,Norway,노르웨이,Kristiansund
Kyzyl Airport,키질 공항,KYZ,UNKY,유럽,Russia,러시아,Kyzyl
L. F. Wade International Airport ,엘에프 웨이드 국제공항 ,BDA,TXKF,중남미,Bermuda,버뮤다제도,Bermuda
La Aurora International Airport,라 오로라 국제공항,GUA,MGGT,중남미,Guatemala,과테말라,Guatemala City 
La Baule - Escoublac,라볼 에스쿠블랑 공항,LBY,LFRE,유럽,France,프랑스,La Baule-Escoublac
La Calera Airport ,라 칼레라 공항 ,ZCL,MMZC,중남미,Mexico,멕시코,Zacatecas
La Desirade Airport,그란데 안세 공항,DSD,TFFA,중남미,Guadeloupe,과들루프,Grande Anse
La Florida Airport,라 플로리다 공항,TCO,SKCO,중남미,Colombia,콜롬비아,Tumaco
La Garenne Airport,라 가레나 공항,AGF,LFBA,유럽,France,프랑스,Agen
La Gomera Airport,라 고메라 공항,GMZ,GCGM,유럽,Spain,스페인,La Gomera
La Guardia International Airport,라구아디아 국제공항,LGA,KLGA,북미,United States,미국,New York NY
La Isabela International Airport,라이사벨라 국제공항,JBQ,MDJB,중남미,Dominican Republic,도미니카공화국,Santo Domingo
La Macarena Airport,라마카레나 공항,LMC,SKNA,중남미,Colombia,콜롬비아,La Macarena
La Marguita Airport,라 마르귀타 공항,NVA,SKNV,중남미,Colombia,콜롬비아,Nevia
La Mina Airport,라 미나 공항,MCJ,SKLM,중남미,Colombia,콜롬비아,Maicao
La Mole Airport,라몰 공항,LTT,LFTZ,유럽,France,프랑스,Saint-Tropez
La Palma Airport,라 팔마 공항,SPC,GCLA,유럽,Spain,스페인,La Palma
La Parra Airport,라 파라 공항,XRY,LEJR,유럽,Spain,스페인,Jerez
La Pedrera Airport,라페드레라 공항,LPD,SKLP,중남미,Colombia,콜롬비아,La Pedrera
La Roche Airport,라 로쉐 공항,MEE,NWWR,대양주,New Caledonia,뉴칼레도니아,Mare
La Romana International Airport,라로마나 국제공항,LRM,MDLR,중남미,Dominican Republic,도미니카공화국,La Romana
La Tontouta International Airport,라 톤투타 국제공항,NOU,NWWW,대양주,New Caledonia,뉴칼레도니아,Noumea
La Union Airport ,라 유니온 공항 ,POP,MDPP,중남미,Dominican Republic,도미니카공화국,Puerto Plata
La Vanguardia Airport,라 방가디아 공항,VVC,SKVV,중남미,Colombia,콜롬비아,Villavicencio
Laage Airport,라아게 공항,RLG,ETNL,유럽,Germany,독일,Rostock
Labo Airport,라보 공항,OZC,RPMO,아시아,Philippines,필리핀,Ozamiz
Labuan Airport,라부앙 공항,LBU,WBKL,아시아,Malaysia,말레이시아,Labuan
Lafayette Regional Airport,라피엣 공항,LFT,KLFT,북미,United States,미국,Lafayette LA
Lahad Datu Airport,라하드다투 공항,LDU,WBKD,아시아,Malaysia,말레이시아,Lahad Batu
Lai Bahadur Shastri Airprot ,라이 바하두르 샤스트리 공항,VNS,VIBN,아시아,India,인도,Varanasi
Laishan Airport,라이샨 공항,YNT,ZSYT,아시아,Macao,마카오,Yantai
Lajes Airport,라예즈 공항,TER,LPLA,유럽,Portugal,포르투갈,Lajes
Lake Manyara Airport,레이크마냐라 공항,LKY,HTLM,아프리카,Tanzania,탄자니아,Manyara
Laleu Airport,랄레우 공항,LRH,LFBH,유럽,France,프랑스,La Rochelle
Lambert Saint Louis International Airport,램버트 세인트루이스 국제공항,STL,KSTL,북미,United States,미국,St Louis MO
Lamentin Airport,라멩탱 공항,FDF,TFFF,아프리카,Mauritania,모리타니아,Fort-de-France
Lamerd Airport,Lamerd 공항,LFM,OISR,중동,Iran,이란,Lamerd
Lamezia Terme Airport ,라메찌아 테메 공항 ,SUF,LICA,유럽,Italy,이탈리아,Lamezia Terme
Lampang Airport,람팡 공항,LPT,VTCL,아시아,Thailand,태국,Lampang
Lampedusa Airport,람페두사 공항,LMP,LICD,유럽,Italy,이탈리아,Lampedusa
Lancang Jingmai Airport,란창 징마 공항,JMJ,ZPJM,아시아,Hong Kong,홍콩,Lancang
Lands End Airport,랜즈 엔드 공항,LEQ,EGHC,유럽,United Kingdom,영국,Lands End
Landvetter Airport ,란베터 공항,GOT,ESGG,유럽,Sweden,스웨덴,Gothenburg
Langkawi Airport,랑카위 공항,LGK,WMKL,아시아,Malaysia,말레이시아,Langkawi
Lankaran International Airport,스리랑카 국제공항,LLK,UBBL,아시아,Azerbaijan,아제르바이잔,Lankaran
Lann Bihoue Airport,란 비호웨 공항,LRT,LFRH,유럽,France,프랑스,Lorient
Lansing Capital City Airport,랜싱 캐피탈시티 공항,LAN,KLAN,북미,United States,미국,Lansing MI
Lanyu Airport,란위 공항,KYD,RCLY,아시아,Chinese Taipei,대만,Lanyu 
Lanzhou Airport,란저우 공항,LHW,ZLLL,아시아,Hong Kong,홍콩,Lanzhou
Laoag International Airport,라오그 국제공항,LAO,RPLI,아시아,Philippines,필리핀,Laoag
Lappeenranta Airport,라펜란타 공항,LPP,EFLP,유럽,Finland,핀란드,Lappeenranta 
Larestan International Airport,라르스탄 국제공항,LRR,OISL,중동,Iran,이란,Larestan
Larnaca International Airport,라르나카 /라나카 국제공항,LCA,LCLK,유럽,Cyprus,키프러스,Larnaca
Las America International Airport ,라스 아메리카 국제공항 ,SDQ,MDSD,중남미,Dominican Republic,도미니카공화국,Santo Domingo
Las Bajadas Airport,라 바자다스 공항,VER,MMVR,중남미,Mexico,멕시코,Veracruz
Las Brujas Airport,라스 부루자스 공항,CZU,SKCZ,중남미,Colombia,콜롬비아,Corozal
Las Higueras Airport,라스 히게라스 공항,RCU,SAOC,중남미,Argentina,아르헨티나,Rio Cuarto
Launceston Airport,론서스턴 공항,LST,YMLT,대양주,Australia,오스트레일리아,Launceston
Laval Entrammes Airport,라발 앙트램스 공항,LVA,LFOV,유럽,France,프랑스,Laval / Entrammes
Laverton Airport,라버튼 공항,LTO,YLTN,중남미,Mexico,멕시코,Loreto
Lawas Airport,라와스 공항,LWY,WBGW,아시아,Malaysia,말레이시아,Lawas 
Lawica Airport,라위카 공항,POZ,EPPO,유럽,Poland,폴란드,Poznan
Lawrence J. Timmerman Airport,로렌스 J. 팀머만 공항,MWC,KMWC,북미,United States,미국,Milwaukee WI
Le Bourget Airport,르부르제 공항,LBG,LFPB,유럽,France,프랑스,Paris / Le Bourget
Le Castellet Airport,르캐스텔렛 공항,CTT,LFMQ,유럽,France,프랑스,Castellet
Le Raizet Airport,르 레제 공항,PTP,TFFR,중남미,Guadeloupe,과들루프,Pointe-a-Pitre
Le Sequestre Airport,레 세퀘스트 공항,LBI,LFCI,유럽,France,프랑스,Albi / Le Sequestre
Le Touquet-Paris-Plage Airport,르투켓 공항,LTQ,LFAT,유럽,France,프랑스,Le Touquet
Learmonth Airport / RAAF Base Learmonth ,리어먼스 공항,LEA,YPLM,대양주,Australia,오스트레일리아,Exmouth
Lech Watesa Airport,레히 바웨사 공항,GDN,EPGD,유럽,Poland,폴란드,Gdansk
Leeds Bradford International Airport,리즈 브랫포드 국제공항,LBA,EGNM,유럽,United Kingdom,영국,Leeds
Legazpi Airport,레가스페 공항,LGP,RPLP,아시아,Philippines,필리핀,Legazpi City
Leger Airport,레저 공항 ,CBH,DAOR,아프리카,Algeria,알제리,Bechar
Leh Air Force Base,레 공군기지,IXL,VILH,아시아,India,인도,Leh
Lehigh Valley International Airport,리하이 밸리 국제공항,ABE,KABE,북미,United States,미국,Allentown PA
Leipzig/Halle Airport ,라이프치히/할레 지역공항,LEJ,EDDP,유럽,Germany,독일,Leipzig
Leirin Airport,레이린 공항 ,VDB,ENFG,유럽,Norway,노르웨이,Fagernes
Leite Lopes Airport,라이테 로페즈 공항,RAO,SBRP,중남미,Brazil,브라질,Ribeirao Preto
Leknes Airport,레크네스 공항,LKN,ENLK,유럽,Norway,노르웨이,Leknes
Lemnos International Airport,레노스 국제공항,LXS,LGLM,유럽,Greece,그리스,Limnos
Lennart Meri Tallinn Airport,레나르 메리 탈린 공항,TLL,EETN,유럽,Estonia,에스토니아,Tallinn
Lensk Airport,Lensk 공항,ULK,UERL,유럽,Russia,러시아,Lensk
Leon Airport,레온 공항,LEN,LELN,유럽,Spain,스페인,Leon
Leon Mba Airport,레온 음바 공항,LBV,FOOL,아프리카,Gabon,가봉,Libreville
Leopold Sedar Senghor Airport,레오로드 세다르 셍고르 공항,DKR,GOOY,아프리카,Senegal,세네갈,Dakar
Leros Airport,레로스 공항,LRS,LGLE,유럽,Greece,그리스,Leros
Lerwick/Tingwall Airport,러윅 팅월 공항,LWK,EGET,유럽,United Kingdom,영국,Lerwick
Les Ajoncs Airport,레 아종크,EDM,LFRI,유럽,France,프랑스,La Roche-sur-Yon / Les Ajoncs
Les Angades Airport,레스 안가데스 공항,OUD,GMFO,아프리카,Morocco,모로코,Oujda
Les Bases Airport,레 바제 공항,GBJ,TFFM,중남미,Guadeloupe,과들루프,Marie-Galante
Les Saintes Airport,레 생테즈 공항,LSS,TFFS,중남미,Guadeloupe,과들루프,Tles des Saintes
Les Salines Airport ,레 살린 공항 ,AAE,DABB,아프리카,Algeria,알제리,Annaba
Lesquin Airport,레스킨 공항,LIL,LFQQ,유럽,France,프랑스,Lille
Levaldigi Airport,레발디지 공항,CUF,LIMZ,유럽,Italy,이탈리아,Cuneo
Lewiston-Nez Perce County Airport,루이스턴 네즈 퍼스 카운티 공항,LWS,KLWS,북미,United States,미국,Lewiston ID
Lhasa Gonggar Airport,라싸 공가 공항,LXA,ZULS,아시아,Hong Kong,홍콩,Lhasa
Lianyungang Airport,롄윈강 공항,LYG,ZSLG,아시아,Hong Kong,홍콩,Lianyungang
Libo Airport,Libo 공항,LLB,ZULB,아시아,Hong Kong,홍콩,Libo
Lic. Jesus Teran Peredo International Airport,릭 지저스 테란 페러두 국제공항,AGU,MMAS,중남미,Mexico,멕시코,Aguascalientes
Lic. y Gen. Ignacio Lopez Rayon Airport,릭 y 제너럴 이그냐시오 로페즈 라온 공항,UPN,MMPN,중남미,Mexico,멕시코,Uruapan
Licenciado Gustavo Dia Ordaz International,릭 구스타보 디아 오르다즈 공항,PVR,MMPR,중남미,Mexico,멕시코,Puerto Vallarta
Lichinga Airport,리칭가 공항,VXC,FQLC,아프리카,Mozambique,모잠비크,Lichinga
Lie Manuel Crescencio Rejon Airport ,리에 마뉴엘 크레센시오 레종 공항 ,MID,MMMD,중남미,Mexico,멕시코,Merida
Liege Airport,리에주 공항,LGG,EBLG,유럽,Belgium,벨기에,Liege
Lienkhang Airport,리엥캥 공항,DLI,VVDL,아시아,Viet Nam,베트남,Dalat
Lihue Airport,리후에 공항,LIH,PHLI,북미,United States,미국,Lihue HI
Lijiang Airport,리장 여강 공항,LJG,ZPLJ,아시아,Hong Kong,홍콩,Lijiang
Lilabari Airport,릴라바리 공항,IXI,VELR,아시아,India,인도,Lakhimpur
Lilongwe International Airport,릴롱궤 국제공항,LLW,FWKI,아프리카,Malawi,말라위,Lilongwe
Limbang Airport,림방 공항,LMN,WBGJ,아시아,Malaysia,말레이시아,Limbang
Limoges - Bellegarde Airport,리모주 벨가르드 공항,LIG,LFBL,유럽,France,프랑스,Limoges
Linate Airport ,리나테 공항 ,LIN,LIML,유럽,Italy,이탈리아,Milan
Lincang Airport,린캉 공항,LNJ,ZPLC,아시아,Hong Kong,홍콩,Lincang
Lincoln Municipal Airport,링컨 시공항,LNK,KLNK,북미,United States,미국,Lincoln NE
Linfen Qiaoli Airport,Linfen Qiaoli 공항,LFQ,ZBLF,아시아,Hong Kong,홍콩,Linfen
Linkoping Airport,린셰핑 공항,LPI,ESSL,유럽,Sweden,스웨덴,Linkoping
Linyi Shubuling Airport,린이슈불링 공항,LYI,ZSLY,아시아,Hong Kong,홍콩,Linxi
Liping Airport,Liping 공항,HZH,ZUNP,아시아,Hong Kong,홍콩,Liping
Lisboa Airport,리즈보아 공항,LIS,LPPT,유럽,Portugal,포르투갈,Lisbon
Lismore Airport,리스모어 공항,LSY,YLIS,대양주,Australia,오스트레일리아,Lismore
Little Rock National Airport ,리틀록 내셔널 공항,LIT,KLIT,북미,United States,미국,Little Rock AR
Liupanshui Yuezhao Airport,Liupanshui Yuezhao Airport,LPF,ZUPS,아시아,Hong Kong,홍콩,Liupanshui
Liuzhou Airport,류저우 공항,LZH,ZGZH,아시아,Hong Kong,홍콩,Liuzhou
Livingstone Airport,리빙스턴 공항,LVI,FLLI,아프리카,Zambia,잠비아,Livingstone
Loakan Airport,로아칸 공항,BAG,RPUB,아시아,Philippines,필리핀,Baguio
Lockhart River Airport,락하트리버스 공항,IRG,YLHR,대양주,Australia,오스트레일리아,Lockhart River
Loei Airport,로에이 공항,LOE,VTUL,아시아,Thailand,태국,Loei
Logan International Airport,로건 국제공항,BOS,KBOS,북미,United States,미국,Boston MA
Lognes Emerainville Airport,노뉴스 에머랭빌 공항,XLG,LFPL,유럽,France,프랑스,Lognes / Emerainville
Lohegaon Airport,로헤가온 공항,PNQ,VAPO,아시아,India,인도,Pune
Lok Nayak Jaya Prakash Narayan Airport ,록 나약 자야 프라카쉬 나라얀 공항 ,PAT,VEPT,아시아,India,인도,Patna
Lombok International Airport,롬복 국제공항,LOP,WADL,아시아,Indonesia,인도네시아,Lombok
Lome-Tokoin Airport,로메 토쿠완 공항,LFW,DXXX,아프리카,Togo,토고,Lome
London City Airport,런던 시티 공항,LCY,EGLC,유럽,United Kingdom,영국,London
London International Airport,런던 국제공항,YXU,CYXU,북미,Canada,캐나다,London ON
Londrina Airport,론드리나 공항,LDB,SBLO,중남미,Brazil,브라질,Londrina
Long Akah Airport,롱 아카 공항,LKH,WBGL,아시아,Malaysia,말레이시아,Long Akah 
Long Beach Municipal Airport,롱비치 시공항 ,LGB,KLGB,북미,United States,미국,Long Beach CA
Long Lellang Airport,롱 렐랑 공항,LGL,WBGF,아시아,Malaysia,말레이시아,Long Lellang 
Long Seridan Airport,롱 세리단 공항,ODN,WBGI,아시아,Malaysia,말레이시아,Long Seridan 
Longnan Chengzhou Airport,롱난 청 저우 공항,LNL,ZLLN,아시아,Hong Kong,홍콩,Longnan
Longreach Airport,롱리치 공항,LRE,YLRE,대양주,Australia,오스트레일리아,Longreach
Longyan Guanzhishan Airport,롱 얀관 지산 공항,LCX,ZSLD,아시아,Hong Kong,홍콩,Liancheng
Lord Howe Island Airport,로드호바아일랜드 공항,LDH,YLHI,대양주,Australia,오스트레일리아,Lord Howe Island
Los Angeles International Airport,로스앤젤레스 국제공항,LAX,KLAX,북미,United States,미국,Los Angeles CA
Los Cabos Airport,로스 카보 공항,SJD,MMSD,중남미,Mexico,멕시코,San Jose Del Cabo
Los Colonizadores Airport,로스 콜로니자도레스 공항,RVE,SKSA,중남미,Colombia,콜롬비아,Saravena
Loudes Airport,로드 공항,LPY,LFHP,유럽,France,프랑스,Le Puy-en-Velay
Louis Armstrong International Airport,루이 암스트롱 국제공항 ,MSY,KMSY,북미,United States,미국,New Orleans LA
Lozuvatka Airport,루주바크타 공항,KWG,UKDR,유럽,Ukraine,우크라이나,Krivoy Rog
Lubang Airport,루방 공항,LBX,RPLU,아시아,Philippines,필리핀,Lubang Island
Lublin Airport,루블린 공항,LUZ,EPLB,유럽,Poland,폴란드,Lublin
Ludao Airport,루다오 공항,GNI,RCG,아시아,Chinese Taipei,대만,Ludao 
Luderitz Airport,루데리츠 공항,LUD,FYLZ,아프리카,Namibia,나미비아,Luderitz
Lugano Airport,루가노 공항,LUG,LSZA,유럽,Switzerland,스위스,Lugano
Luis E. Magalhaes Airport,루이즈 E. 마갈헤즈 공항,SSA,SBSV,중남미,Brazil,브라질,Salvador
Luiz Munoz Marin International Airport,루이즈 뮈노스 마랭 국제공항,SJU,TJSJ,중남미,Puerto Rico,푸에르토리코,San Juan
Luliang Airport,뤼리앙 공항,LLV,ZBLL,아시아,Hong Kong,홍콩,Luliang
Lumbia Airport,룸비아 공항,CGY,RPML,아시아,Philippines,필리핀,Cagayan de Oro
Lungi International Airport,런자이 국제공항,FNA,GFLL,아프리카,Sierra Leone,시에라리온,Freetown
Luoyang Airport,뤄양 공항,LYA,ZHLY,아시아,Hong Kong,홍콩,Luoyang
Lusaka International Airport,루사카 국제공항,LUN,FLKK,아프리카,Zambia,잠비아,Lusaka
Luton Airport,루톤 공항,LTN,EGGW,유럽,United Kingdom,영국,London
Luxembourg International Airport ,뤽상부르 국제공항 ,LUX,ELLX,유럽,Luxembourg,룩셈부르크,Luxembourg
Luxor Airport,룩소르 공항,LXR,HELX,아프리카,Egypt,이집트,Luxor
Luzhou Lantian Airport,루저우랜티안 공항,LZO,ZULZ,아시아,Hong Kong,홍콩,Luzhou
Lycksele Airport,뤽셀레 공항,LYC,ESNL,유럽,Sweden,스웨덴,Lycksele
Lydd International Airport,리드 국제공항,LYX,EGMD,유럽,United Kingdom,영국,Lydd
Lyon Bron Airport,리옹 브롱 공항,LYN,LFLY,유럽,France,프랑스,Lyon
Maastricht Aachen Airport,마스트리히트 아흐츤 공항,MST,EHBK,유럽,Netherlands,네덜란드,Maastricht
Macae Airport,마카에 공항,MEA,SBME,중남미,Brazil,브라질,Macae
Macao International Airport,마카오 국제공항,MFM,VMMC,아시아,Macao,마카오,Macau
Macapa Internacional Airport,마카파 국제공항,MCP,SBMQ,중남미,Brazil,브라질,Macapa
Machangara Airport ,마챵가라 공항 ,PPN,SKPP,중남미,Colombia,콜롬비아,Popayan
Machrihanish Airport,머크리하나쉬 공항,CAL,EGEC,유럽,United Kingdom,영국,Campbeltown
Mackay Airport,매카이 공항,MKY,YBMK,대양주,Australia,오스트레일리아,Mackay
Macon Charnay Airport,마꽁 샤네이 공항,QNX,LFLM,유럽,France,프랑스,Macon / Charnay
Mactan International Airport,막탄 국제공항,CEB,RPVM,아시아,Philippines,필리핀,Lapu-Lapu
Madeira Airport ,마데이라 공항 ,FNC,LPMA,유럽,Portugal,포르투갈,Funchal
Madera Municipal Airport,마데라 시공항,MAE,KMAE,중남미,Brazil,브라질,Sao Paulo
Madrid Barajas Airport,마드리드 바라쟈스 공항,MAD,LEMD,유럽,Spain,스페인,Madrid
Madurai Airport,마두라이 공항,IXM,VOMD,아시아,India,인도,Madurai
Mae Hong Son Airport,매홍선 공항,HGN,VTCH,아시아,Thailand,태국,Mae Hong Son
Mae Sot Airport,매 솟 공항,MAQ,VTPM,아시아,Thailand,태국,Mae Sot
Mafia Airport,마피아 공항,MFA,HTMA,아프리카,Tanzania,탄자니아,Mafia
Magaret Ekpo International Airport,매그렛 익포 국제공항,CBQ,DNCA,아프리카,Nigeria,나이지리아,Calabar
Magenta Airport,마젠타 공항,GEA,NWWM,대양주,New Caledonia,뉴칼레도니아,Noumea
Magnitogorsk Airport,마그니토고르스크 공항,MQF,USCM,유럽,Russia,러시아,Magnitogorsk
Magong Airport,마공 공항,MZG,RCQC,아시아,Chinese Taipei,대만,Makung
Maharana Pratap Airport ,마하나라 프라탑 공항 ,UDR,VAUD,아시아,India,인도,Udaipur
Mahshahr Airport,머샤흐 공항,MRX,OIAM,중동,Iran,이란,Mahshahr
Maiduguri International Airport,마이두구리 국제공항,MIU,DNMA,아프리카,Nigeria,나이지리아,Maiduguri
Major General FAP Armando Revoredo Iglesias Airport,메이저 제네랄 FAP 아르만도 로베레도 이글레시아스 공항,CJA,SPJR,중남미,Peru,페루,Cajamarca
Makemo Airport,마케모 공항,MKP,NTGM,대양주,French Plynesia,프랑스령폴리네시아,Makemo
Makurdi Air Force Base,마쿠르디 공군기지,MDI,DNMK,아프리카,Nigeria,나이지리아,Makurdi
Mal. Cunha Machado Airport,말 쿤하 마체이도 공항,SLZ,SBSL,중남미,Brazil,브라질,Sao Luis
Malad City Airport,말라드시티 공항,MLU,KMLU,북미,United States,미국,Monroe LA
Malaga Airport,말라가 공항 ,AGP,LEMG,유럽,Spain,스페인,Malaga
Malatya Erhac Airport,말라티아 에르학 공항,MLX,LTAT,유럽,Turkey,터키,Malatya
Malay Airport,말레이 공항,MPH,RPVE,아시아,Philippines,필리핀,Malay
Male International Airport,메일 국제공항,MLE,VRMM,아시아,Maldives,몰디브,Male
Mallam Aminu Kano International Airport,말람 아미뉴 카노 국제공항,KAN,DNKN,아프리카,Nigeria,나이지리아,Kano
Malpensa Airport,말펜사 공항,MXP,LIMC,유럽,Italy,이탈리아,Milan
Malta International Airport ,말타국제공항 ,MLA,LMML,유럽,Malta,몰타,Malta
Mambajao Airport,맘바자오 공항,CGM,RPMH,아시아,Philippines,필리핀,Mambajao
Mamburao Airport,맘부라오 공항,MBO,RPUM,아시아,Philippines,필리핀,Mamburao
Manas International Airport,만사스 국제공항,FRU,UAFM,아시아,Kyrgyzstan,키르기스스탄,Bishkek
Manchester International Airport,맨체스터 국제공항,MAN,EGCC,유럽,United Kingdom,영국,Manchester
Manchester-Boston Regional Airport ,맨체스터-보스톤 지역 공항,MHT,KMHT,북미,United States,미국,Manchester NH
Mandelieu Airport,만델리 공항,CEQ,LFMD,유럽,France,프랑스,Cannes
Mangshi Airport,망시 공항,LUM,ZPMS,아시아,China,중국,Dehong
Manihi Airport,머나이 공항,XMH,NTGI,대양주,French Plynesia,프랑스령폴리네시아,Manihi
Maningrida Airport,마닝그리다 공항,MNG,YMGD,대양주,Australia,오스트레일리아,Maningrida
Mano Dayak International Airport,마노다약 국제공항,AJY,DRZA,아프리카,Niger,니제르,Agades 
Manzhouli Xijiao Airport,Manzhouli Xijiao 공항,NZH,ZBMZ,아시아,Macao,마카오,Manzhouli Xijao
Maota Savail Island Airport,마오타사바일아일랜드 공항,MXS,NSMA,대양주,Samoa,사모아,Maota Savaii
Maotal Airport,마오타이 공항,WMT,ZUMT,아시아,Macao,마카오,Zunyi
Maputo International Airport,마푸토 국제공항,MPM,FQMA,아프리카,Mozambique,모잠비크,Maputo
Maraba Airport,마라바 공항,MAB,SBMA,중남미,Brazil,브라질,Maraba
Maradi Airport,마라디 공항,MFQ,DRRM,아프리카,Niger,니제르,Maradi 
Marce Airport ,마르세 공항 ,ANE,LFJR,유럽,France,프랑스,Marce
Marcillac Airport,마실략 공항,RDZ,LFCR,유럽,France,프랑스,Rodez
Marco Polo International,마르코 폴로 국제공항,VCE,LIPZ,유럽,Italy,이탈리아,Venice
Mardin Airport,마르딘 공항,MQM,LTCR,유럽,Turkey,터키,Mardin
Marechal Rondon Airport,마레첼 론돈 공항,CGB,SBCY,중남미,Brazil,브라질,Cuiaba
Maria Montez International Airport,마리아 몬테즈 국제공항,BRX,MDBH,중남미,Dominican Republic,도미니카공화국,BARAHONA
Maria Reiche Neuman Airport,마리아 라이슈 노이만 공항,NZC,SPZA,중남미,Peru,페루,Nazca 
Maribor Airport,마리보르 공항,MBX,LJMB,유럽,Slovenia,슬로베니아,Maribor
Maridor Airport,마리도 공항,MMD,ROMD,아시아,Japan,일본,Minamidaito
Mariehamn Airport,메리함 공항,MHQ,EFMA,유럽,Finland,핀란드,Maarianhamina
Marina di Campo Airport,마리나 디 캄포 공항,EBA,LIRJ,유럽,Italy,이탈리아,Elba
Marinduque Airport,마링두케 공항,MRQ,RPUW,아시아,Philippines,필리핀,Gasan
Maripasoula Airport,마리파슬라 공항,MPY,SOOA,중남미,French Guiana,프랑스령기아나,Maripasoula
