순서,시설ID,컨텐츠 명,사용유무,테마 타입,x 좌표,y 좌표,좌표 배열,좌표타입,메인 이미지,새 주소,구 주소,우편번호,국가 지점 번호,테마 명,거리,업데이트 일,등록일,이미지 URL1,이미지 URL2,이미지 URL3,이미지 URL4,이미지 URL5,동영상 URL,음성파일 URL,평가 점수,평가자 인원,상세정보 이름 1,상세정보 값 1,상세정보 이름 2,상세정보 값 2,상세정보 이름 3,상세정보 값 3,상세정보 이름 4,상세정보 값 4,상세정보 이름 5,상세정보 값 5,상세정보 이름 6,상세정보 값 6,상세정보 이름 7,상세정보 값 7,상세정보 이름 8,상세정보 값 8,상세정보 이름 9,상세정보 값 9,상세정보 이름 10,상세정보 값 10
1683,동작구 거치대 020,자전거 일반거치대,사용,일반,126.9379086,37.50438184,[],Point,,서울특별시 동작구 상도로 171,서울특별시 동작구 상도동 365-19,6937,,(친환경)자전거 편의시설,7018.170918,2022.1.14 15:59,2022.1.14 15:59,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1684,동작구 거치대 029,자전거 일반거치대,사용,일반,126.9209277,37.50002886,[],Point,,서울특별시 동작구 상도로 3,서울특별시 동작구 대방동 399-7,6955,,(친환경)자전거 편의시설,8368.058758,2022.1.14 16:16,2022.1.14 16:16,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",보라매역 8번 출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1685,동작구 거치대 021,자전거 일반거치대,사용,일반,126.9393601,37.50561348,[],Point,,서울특별시 동작구 장승배기로11가길 11,서울특별시 동작구 상도동 902,6937,,(친환경)자전거 편의시설,6837.455697,2022.1.14 16:02,2022.1.14 16:02,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",장승배기역 5번 출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",16대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1686,동작구 거치대 031,자전거 일반거치대,사용,일반,126.940557,37.5133909,[],Point,,서울특별시 동작구 노량진로 132,서울특별시 동작구 노량진동 63-12,6922,,(친환경)자전거 편의시설,6117.099426,2022.1.14 16:18,2022.1.14 16:18,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",노량진역 4번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",8대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1687,동작구 거치대 034,자전거 일반거치대,사용,일반,126.9519777,37.51284759,[],Point,,서울특별시 동작구 노량진로 235,서울특별시 동작구 본동 344-10,6902,,(친환경)자전거 편의시설,5610.715765,2022.1.14 16:24,2022.1.14 16:24,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",노들역 1번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",38대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1688,동작구 거치대 023,자전거 일반거치대,사용,일반,126.9292553,37.49961911,[],Point,,서울특별시 동작구 상도로 78,서울특별시 동작구 대방동 335-32,7041,,(친환경)자전거 편의시설,7892.404706,2022.1.14 16:07,2022.1.14 16:07,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",신대방역 1번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1689,동작구 거치대 027,자전거 일반거치대,사용,일반,126.9205518,37.49964495,[],Point,,서울특별시 동작구 여의대방로 142,서울특별시 동작구 대방동 400-1,7055,,(친환경)자전거 편의시설,8421.628095,2022.1.14 16:13,2022.1.14 16:13,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",보라매역2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",27대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1690,동작구 거치대 028,자전거 일반거치대,사용,일반,126.9206133,37.50029183,[],Point,,서울특별시 동작구 상도로 1,서울특별시 동작구 대방동 399-3,6955,,(친환경)자전거 편의시설,8368.212831,2022.1.14 16:14,2022.1.14 16:14,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",보라매역 7번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1691,동작구 거치대 030,자전거 일반거치대,사용,일반,126.9426349,37.51388662,[],Point,,서울특별시 동작구 노량진로 151,서울특별시 동작구 노량진동 67-2,6902,,(친환경)자전거 편의시설,5961.759564,2022.1.14 16:17,2022.1.14 16:17,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",노량진역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1692,동작구 거치대 033,자전거 일반거치대,사용,일반,126.9395633,37.51334973,[],Point,,서울특별시 동작구 노량진로 124,서울특별시 동작구 노량진동 40-12,6928,,(친환경)자전거 편의시설,6176.490689,2022.1.14 16:23,2022.1.14 16:23,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",노량진역 6번 출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",20대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1693,동작구 거치대 036,자전거 일반거치대,사용,일반,126.9543686,37.51225911,[],Point,,서울특별시 동작구 노량진로 252,서울특별시 동작구 본동 126-20,6908,,(친환경)자전거 편의시설,5572.995097,2022.1.14 16:27,2022.1.14 16:27,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",노들역 3번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",15대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1694,동작구 거치대 038,자전거 일반거치대,사용,일반,126.9522908,37.51249853,[],Point,,서울특별시 동작구 매봉로 182,서울특별시 동작구 본동 160-5,6906,,(친환경)자전거 편의시설,5630.119291,2022.1.14 16:30,2022.1.14 16:30,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",노들역5번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",12대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1695,동작구 거치대 041,자전거 일반거치대,사용,일반,126.963945,37.50837191,[],Point,,서울특별시 동작구 서달로14길 11,서울특별시 동작구 흑석동 4,6979,,(친환경)자전거 편의시설,5680.456063,2022.1.14 16:52,2022.1.14 16:52,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",흑석역3번 출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",20대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1696,동작구 거치대 043,자전거 일반거치대,사용,일반,126.9128168,37.48736336,[],Point,,서울특별시 동작구 대림로 2,서울특별시 동작구 신대방동 643-1,7067,,(친환경)자전거 편의시설,9861.592254,2022.1.14 16:55,2022.1.14 16:55,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",신대방역3번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",84대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1697,동작구 거치대 012,자전거 일반거치대,사용,일반,126.9723108,37.4843258,[],Point,,서울특별시 동작구 사당로 215,서울특별시 동작구 사당동 252,7004,,(친환경)자전거 편의시설,7985.979985,2022.1.14 15:44,2022.1.14 15:44,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",남성역 4번 출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",13대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1698,동작구 거치대 040,자전거 일반거치대,사용,일반,126.9642624,37.50850151,[],Point,,서울특별시 동작구 현충로 87,서울특별시 동작구 흑석동 4,6904,,(친환경)자전거 편의시설,5661.795736,2022.1.14 16:50,2022.1.14 16:50,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",흑석역2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",15대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,교통행정과,교통행정과
1699,광흥창전철역 3번출구,자전거 일반거치대,사용,일반,126.9327706,37.54770035,[],Point,,서울특별시 마포구 창전로 60,서울특별시 마포구 구수동 2-10,4098,,(친환경)자전거 편의시설,4503.605313,2022.1.19 9:39,2022.1.19 9:39,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,광흥창전철역 3번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,5대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1700,신촌로터리 외환은행앞,자전거 일반거치대,사용,일반,126.9367633,37.5546497,[],Point,,서울특별시 마포구 서강로 144,서울특별시 마포구 노고산동 31-123,4100,,(친환경)자전거 편의시설,3910.333608,2022.1.19 9:23,2022.1.19 9:23,,,,,,,,,,운영시간,24시간,설치지역,기타|,상세위치,신촌로터리 외환은행앞,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,10대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1701,홍대전철역 3번 출구,자전거 일반거치대,사용,일반,126.9253762,37.55866441,[],Point,,서울특별시 마포구 양화로 183,서울특별시 마포구 동교동 190-1,3994,,(친환경)자전거 편의시설,4962.295287,2022.1.19 14:13,2022.1.19 14:13,,,,,,,,,,운영시간,24시간,설치지역,,상세위치,홍대전철역 3번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,75대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1702,합정전철역 6번출구,자전거 일반거치대,사용,일반,126.9139065,37.54930275,[],Point,,서울특별시 마포구 양화로 46,서울특별시 마포구 합정동 402,4046,,(친환경)자전거 편의시설,6257.539391,2022.1.19 10:58,2022.1.19 10:58,,,,,,,,,,운영시간 ,24시간,설치지역,지하철역|,상세위치,합정전철역 6번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,10대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
2104,송파구_거치대_107,자전거 일반거치대,사용,일반,127.1336622,37.52009727,[],Point,,,서울특별시 송파구 방이동 89-28,,,(친환경)자전거 편의시설,16495.82428,2021.12.28 11:05,2021.12.28 11:05,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,학교|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
1704,광흥창전철역 4번출구,자전거 일반거치대,사용,일반,126.9327,37.54731243,[],Point,,서울특별시 마포구 독막로 172,서울특별시 마포구 구수동 56-2,4087,,(친환경)자전거 편의시설,4524.474719,2022.1.19 9:43,2022.1.19 9:43,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,광흥창전철역 4번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,20대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1705,광흥창전철역 1번출구,자전거 일반거치대,사용,일반,126.9311986,37.54768603,[],Point,,서울특별시 마포구 서강로 51,서울특별시 마포구 창전동 116,4069,,(친환경)자전거 편의시설,4650.808255,2022.1.19 9:29,2022.1.19 9:29,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,광흥창전철역 1번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,15대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1706,광흥창전철역 6번출구,자전거 일반거치대,사용,일반,126.9310849,37.54737339,[],Point,,서울특별시 마포구 서강로 47,서울특별시 마포구 창전동 329-17,4078,,(친환경)자전거 편의시설,4672.573722,2022.1.19 9:56,2022.1.19 9:56,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,광흥창전철역 6번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,10대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1707,광흥창전철역 2번출구,자전거 일반거치대,사용,일반,126.9317141,37.54762429,[],Point,,서울특별시 마포구 독막로 165,서울특별시 마포구 창전동 243-3,4099,,(친환경)자전거 편의시설,4604.839599,2022.1.19 9:34,2022.1.19 9:34,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,광흥창전철역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,10대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1708,신촌전철역 7번출구,자전거 일반거치대,사용,일반,126.9362332,37.55484772,[],Point,,서울특별시 마포구 신촌로 94,서울특별시 마포구 노고산동 31-123,4058,,(친환경)자전거 편의시설,3957.071433,2022.1.19 9:18,2022.1.19 9:18,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,신촌전철역 7번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,15대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1709,광흥창전철역 5번출구,자전거 일반거치대,사용,일반,126.9316029,37.54736687,[],Point,,서울특별시 마포구 서강로 46,서울특별시 마포구 창전동 246-33,4086,,(친환경)자전거 편의시설,4624.505209,2022.1.19 9:49,2022.1.19 9:49,,,,,,,,,,운영시간 ,24시간,설치지역,지하철역|,상세위치,광흥창전철역 5번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,10대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1710,합정전철역 7번출구,자전거 일반거치대,사용,일반,126.9136516,37.54878434,[],Point,,서울특별시 마포구 독막로 4,서울특별시 마포구 합정동 373-39,4071,,(친환경)자전거 편의시설,6294.758034,2022.1.19 11:23,2022.1.19 11:23,,,,,,,,,,운영시간,34시간,설치지역,지하철역|,상세위치,합정전철역 7번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,65대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1711,합정전철역 1번출구,자전거 일반거치대,사용,일반,126.9152843,37.55081371,[],Point,,서울특별시 마포구 양화로7길 3,서울특별시 마포구 서교동 427,4037,,(친환경)자전거 편의시설,6088.91031,2022.1.19 10:29,2022.1.19 10:29,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,합정전철역 1번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,10대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
2296,광진구_거치대_049,자전거거치대,사용,일반,127.0834433,37.53982376,[],Point,,서울특별시 광진구 자양로 136,서울특별시 광진구 구의동 251-54,5039,,(친환경)자전거 편의시설,11143.58823,2021.12.22 13:43,2021.12.22 13:43,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,예원바둑판,,설치유형(*공기주입기와 주차장 만 선택하세요.),,8대,,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
1712,합정전철역 2번출구,자전거 일반거치대,사용,일반,126.9155054,37.55095676,[],Point,,서울특별시 마포구 양화로7길 4,서울특별시 마포구 서교동 427,4037,,(친환경)자전거 편의시설,6064.214793,2022.1.19 10:32,2022.1.19 10:32,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,합정전철역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,14대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1713,합정전철역 4번출구,자전거 일반거치대,사용,일반,126.9149169,37.55002434,[],Point,,서울특별시 마포구 양화로 56,서울특별시 마포구 서교동 427,4045,,(친환경)자전거 편의시설,6142.436927,2022.1.19 10:39,2022.1.19 10:39,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,합정전철역 4번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,20대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1715,합정전철역 5번출구,자전거 일반거치대,사용,일반,126.9140051,37.54936859,[],Point,,서울특별시 마포구 양화로 46,서울특별시 마포구 합정동 402,4046,,(친환경)자전거 편의시설,6246.405891,2022.1.19 10:44,2022.1.19 10:44,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,합정전철역 5번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,30대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1717,홍대전철역 4번출구,자전거 일반거치대,사용,일반,126.925789,37.5578045,[],Point,,서울특별시 마포구 양화로 186,서울특별시 마포구 동교동 167-2,4051,,(친환경)자전거 편의시설,4931.597618,2022.1.19 14:39,2022.1.19 14:39,,,,,,,,,,운영시간,24시간,설치지역,지하철역|,상세위치,홍대전철역 4번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
1718,홍대전철역 3번출구 (효성),자전거 일반거치대,사용,일반,126.9254172,37.55830069,[],Point,,서울특별시 마포구 양화로 183,서울특별시 마포구 동교동 155-6,3994,,(친환경)자전거 편의시설,4962.37556,2022.1.19 14:06,2022.1.19 14:06,,,,,,,,,,운영시간,24시간,설치지역,,상세위치,홍대전철역 3번출구(효성),설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,20대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
