번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수
431,산후조리업,01_01_04_P,3930000,PHMB120073930154042100001,2007.1.23,,3,폐업,3,폐업,2010.10.18,2010.6.16,2010.9.30,,439-2202,,425-856,"경기도 안산시단원구 초지동 743번지 4호 508,509호","경기도 안산시 단원구 원포공원1로 49 (초지동,508,509호)",,사랑샘산후조리원,2010.10.19 12:59,I,2018.8.31 23:59,,183264.7524,422289.894,21,21,,35.51,15.17,48,3.24,,,17,1,10,,1,2,,6,5,1
432,산후조리업,01_01_04_P,5540000,PHMB120075540016042100001,2007.4.27,,3,폐업,3,폐업,2009.4.27,,,,,,464-010,경기도 광주시 경안동 17-6,,,다솜산후조리원,2009.4.30 16:47,I,2018.8.31 23:59,,,,11,11,128.95,19,5,14.69,11.77,10,29.38,,2,3,,2,1,1,2,,
433,산후조리업,01_01_04_P,3780000,PHMB120063780064042100004,2006.12.12,,3,폐업,3,폐업,2013.12.15,,,,,,463-480,경기도 성남시 분당구 금곡동 메디파크빌딩 7층,경기도 성남시 분당구 돌마로 231 (금곡동),463-480,메디파크 산후조리원,2013.11.18 16:54,I,2018.8.31 23:59,,,,21,21,,,,,,,,,,,,,,,0,,
434,산후조리업,01_01_04_P,3780000,PHMB120043780064042100001,2004.8.17,,3,폐업,3,폐업,2017.6.3,2016.3.14,2016.4.5,,703-0718,,463-030,경기도 성남시 분당구 분당동 90-1 한일빌딩 5층 1호,경기도 성남시 분당구 장안로 39 (분당동),13583,분당산후조리원,2017.6.2 16:21,I,2018.8.31 23:59,,212637.4076,429830.8686,13,13,178.51,26.49,6.16,14.55,7.64,28.13,14.64,13.35,,,,,,,,,
435,산후조리업,01_01_04_P,3190000,PHMB120073190033042100001,2007.10.23,,3,폐업,3,폐업,2016.7.30,,,,,,156-848,서울특별시 동작구 신대방동 359번지 69호 아카데미타워 403호,,,로얄산후조리원(2관),2017.4.5 16:55,I,2018.8.31 23:59,,,,19,19,249.22,41.29,8.76,57.01,10.5,24.1,48.2,18.67,4,9,0,2,2,,,,
436,산후조리업,01_01_04_P,3190000,PHMB120073190033042100002,2007.1.17,,3,폐업,3,폐업,2007.4.11,,,,,,156-854,서울특별시 동작구 신대방동 687번지 15호,서울특별시 동작구 대림로 54 (신대방동),,본 산후조리원,2008.12.22 17:11,I,2018.8.31 23:59,,191765.9189,442906.8454,7,7,77.88,19.13,4.48,8.54,25.84,12,15.83,,2,3,,1,1,2,,,
437,산후조리업,01_01_04_P,3190000,PHMB120073190033042100003,2007.1.20,,3,폐업,3,폐업,2016.8.31,,,,,,156-849,서울특별시 동작구 신대방동 395번지 69호 보라매아카데미 타워 401호,"서울특별시 동작구 보라매로5가길 16 (신대방동,보라매아카데미 타워 401호)",,로얄산후조리원,2017.4.5 16:56,I,2018.8.31 23:59,,193218.364,443239.5811,20,20,300,58.74,5.94,62.1,8,32.84,55.83,15.58,4,11,,1,1,,,,
438,산후조리업,01_01_04_P,3190000,PHMB119993190033042100001,1999.4.25,,3,폐업,3,폐업,2008.11.27,,,,,,156-832,서울특별시 동작구 상도동 356번지 2층,"서울특별시 동작구 상도로 133 (상도동,2층)",,늘푸른산후조리원,2008.12.22 17:26,I,2018.8.31 23:59,,194136.4185,444467.349,13,13,7.66,22.82,7.9,41.36,8,1.82,13.5,5.77,3,3,,1,1,,,,
439,산후조리업,01_01_04_P,3190000,PHMB120063190033042100001,2006.10.31,,3,폐업,3,폐업,2008.11.26,,,,,,156-814,서울특별시 동작구 동작동 66번지 18호,,,사임당 산후조리원,2008.12.22 17:31,I,2018.8.31 23:59,,,,15,15,118.06,25.6,6.1,26.12,5.8,,42.72,4.62,5,2,1,1,1,,,,
440,산후조리업,01_01_04_P,3190000,PHMB120063190033042100002,2012.1.2,,3,폐업,3,폐업,2019.3.8,,,,826-6140,,156-806,서울특별시 동작구 노량진2동 312번지 6호,서울특별시 동작구 장승배기로 113 (노량진동),6936,마더휴,2019.3.8 17:10,U,2019.3.10 2:40,,194587.6483,445069.91,22,22,284.2,37.56,7.74,43.71,14.61,5.64,56.43,7.28,4,3,,1,1,,0,,
441,산후조리업,01_01_04_P,3190000,PHMB120093190033042100001,2009.1.22,,3,폐업,3,폐업,2020.11.18,,,,,,,서울특별시 동작구 상도동 25-1 세담빌딩,"서울특별시 동작구 상도로 213, 세담빌딩 (상도동)",6921,늘푸른산후조리원(동작점),2020.11.18 17:37,U,2020.11.20 2:40,,194851.3557,444812.5438,10,10,148,214,,11,8,,3,4,3,5,,2,1,,6,6,
442,산후조리업,01_01_04_P,3130000,PHMB120133130033042100001,2013.10.1,,3,폐업,3,폐업,2019.3.27,,,,711-6838,,121-856,서울특별시 마포구 신수동 431번지 3호,서울특별시 마포구 토정로 235 (신수동),4090,맘스산후조리원,2019.3.27 16:04,U,2019.3.29 2:40,,194347.3705,449089.8049,27,27,535.4,66.1,11,45,16,48.2,48.2,14,5,11,0,1,1,,6,5,
443,산후조리업,01_01_04_P,3130000,PHMB120063130033042100001,2006.12.8,,3,폐업,3,폐업,2009.10.16,,,,335-4545,,121-251,서울특별시 마포구 성산1동 9번지 7호,서울특별시 마포구 성미산로11길 72 (성산동),,한나산후조리원,2010.11.11 14:58,I,2018.8.31 23:59,,192513.4487,451284.3503,16,16,6.5,27.4,20.8,20.4,4.5,2,8.1,12.2,5,2,,2,1,1,3,3,1
444,산후조리업,01_01_04_P,3220000,PHMB120063220033042100002,2006.12.7,,3,폐업,3,폐업,2014.3.6,,,,,,135-833,서울특별시 강남구 논현2동 277번지 27호,서울특별시 강남구 봉은사로 303 (논현동),,아이통곡산후조리원,2014.3.5 16:19,I,2018.8.31 23:59,,203479.293,445256.3135,12,12,108,28,,,,,,,3,5,,2,1,,0,,
445,산후조리업,01_01_04_P,3220000,PHMB120073220033042100002,2007.11.12,,3,폐업,3,폐업,2013.11.28,,,,,,135-894,서울특별시 강남구 신사동 617번지 5호,서울특별시 강남구 언주로 871 (신사동),,호산여성병원산후조리원,2013.11.28 16:51,I,2018.8.31 23:59,,202879.096,447368.0001,7,7,148,,,,,,,,3,5,,,,,8,8,
446,산후조리업,01_01_04_P,3220000,PHMB120053220033042100001,2005.9.29,,3,폐업,3,폐업,2016.10.31,,,,552-0100,,,서울특별시 강남구 역삼동 786번지 12호,"서울특별시 강남구 도곡로 786-19 (역삼동, 정민빌딩)",6230,행복한 산후조리원,2016.10.25 19:19,I,2018.8.31 23:59,,,,13,13,124.42,26.66,,167.25,5.5,1.48,24.81,5.44,4,6,,2,1,,0,,
447,산후조리업,01_01_04_P,3220000,PHMB120083220033042100001,2008.2.28,,3,폐업,3,폐업,2013.7.31,,,,558-7769,,135-842,서울특별시 강남구 대치2동 984번지 로얄빌딩 3층,"서울특별시 강남구 도곡로99길 16 (대치동,로얄빌딩 3층)",,르베르쏘 산후조리원,2014.5.19 16:37,I,2018.8.31 23:59,,205766.5314,444407.2205,16,16,258,35.17,,33.23,14.3,,41.66,,4,3,,2,2,,3,,
448,산후조리업,01_01_04_P,3220000,PHMB120083220033042100002,2008.6.4,,3,폐업,3,폐업,2011.7.15,,,,02-2057-6432,,135-515,서울특별시 강남구 역삼2동 785번지 12호,서울특별시 강남구 언주로 303 (역삼동),,드 라마 산후조리원,2017.3.6 11:14,I,2018.8.31 23:59,,204004.3284,443597.9801,15,15,302.09,15.6,12,44.7,11.51,4.9,68,10.41,9,0,2,1,2,,,,
449,산후조리업,01_01_04_P,3190000,PHMB120143190033042100001,2014.10.23,,3,폐업,3,폐업,2017.4.21,,,,02-835-2228,,156-713,서울특별시 동작구 신대방동 395번지 69호 결한방산후조리원보라매점,"서울특별시 동작구 보라매로5가길 16, 4층 (신대방동, 결한방산후조리원보라매점)",7071,(주)결한방산후조리원보라매점,2017.5.10 9:18,I,2018.8.31 23:59,,193218.364,443239.5811,15,15,369,32,14,56.6,23.4,41.2,13.2,11,1,3,,1,,1,4,4,
450,산후조리업,01_01_04_P,3220000,PHMB120063220033042100001,2006.11.27,,3,폐업,3,폐업,2021.5.18,2017.7.13,2017.8.1,,541-5673,,,서울특별시 강남구 청담동 132번지 16호 청구 빌딩 2층,"서울특별시 강남구 학동로101길 15, 청구 빌딩 2층 (청담동)",6075,트리니티산후조리원(청담점),2021.5.18 16:36,U,2021.5.20 2:40,,205004.0867,446564.6597,15,15,281.13,2.74,14.93,23.02,8.02,35,5.85,11.84,4,11,,1,1,4,6,4,2
451,산후조리업,01_01_04_P,3220000,PHMB120133220033042100001,2013.8.16,,3,폐업,3,폐업,2019.1.10,2017.3.28,2017.9.30,,558-2053,,135-842,서울특별시 강남구 대치2동 984번지 로얄빌딩 3층,서울특별시 강남구 도곡로99길 16 (대치동),6189,알루베베산후조리원,2019.1.10 18:23,U,2019.1.12 2:40,,205766.5314,444407.2205,17,17,258,35.17,,33.23,14.3,,2.8,,4,6,,1,1,1,3,3,
452,산후조리업,01_01_04_P,3220000,PHMB120083220033042100003,2008.2.27,,3,폐업,3,폐업,2021.4.30,2019.11.1,2019.11.28,,02-554-6600,,,서울특별시 강남구 역삼동 837번지 26호 삼일프라자오피스텔 3층 302호,"서울특별시 강남구 도곡로1길 14, 삼일프라자오피스텔 3층 302호 (역삼동)",6253,앙즐레 산후조리원,2021.4.30 11:22,U,2021.5.2 2:40,,202803.1376,443189.8235,15,15,327.9,29.8,8.6,14,8.29,31.92,34.98,,4,3,1,1,2,,6,6,6
453,산후조리업,01_01_04_P,3220000,PHMB120113220033042100001,2011.11.4,,3,폐업,3,폐업,2017.4.4,,,,02-555-7166,,135-917,서울특별시 강남구 역삼1동 694번지 12호,서울특별시 강남구 선릉로 535 (역삼동),6149,라마드레 산후조리원,2017.4.4 16:55,I,2018.8.31 23:59,,204049.9844,444973.4465,18,18,320.5,49.4,14.5,23.1,6.6,22.8,28.8,33.7,3,6,,4,2,2,6,6,
454,산후조리업,01_01_04_P,3220000,PHMB120123220033042100003,2012.4.26,,3,폐업,3,폐업,2016.6.9,,,,555-9550,,,,서울특별시 강남구 언주로107길 658-7 (역삼동),6136,산후조리원 궁 (강남점),2016.6.9 15:44,I,2018.8.31 23:59,,,,18,18,334.2,42.9,,66.2,,,96.8,6.4,3,5,,1,1,,0,,
455,산후조리업,01_01_04_P,3220000,PHMB120123220033042100004,2012.5.25,,3,폐업,3,폐업,2014.5.7,,,,02-575-7870,,135-859,서울특별시 강남구 도곡1동 941번지 8호,서울특별시 강남구 도곡로6길 13 (도곡동),,라펠리체 산후조리원,2014.5.7 16:57,I,2018.8.31 23:59,,202983.0709,443022.2054,15,15,361.2,63.4,9.7,27.8,4.86,,,,7,6,,,,,7,7,
456,산후조리업,01_01_04_P,3220000,PHMB120123220033042100005,2012.10.27,,3,폐업,3,폐업,2018.2.28,,,,02-1899-2227,,,서울특별시 강남구 청담동 71번지 3호 11~13층,"서울특별시 강남구 영동대로 71-3 (청담동, 튼튼병원빌딩)",6072,청담베네크레산후조리원,2018.2.28 17:08,I,2018.8.31 23:59,,204855.5795,446576.8586,29,29,669,74.4,18.6,57.6,18.3,43.9,88.5,22.8,5,2,1,1,2,2,3,3,
457,산후조리업,01_01_04_P,3120000,PHMB120123120033042100001,2012.2.17,,3,폐업,3,폐업,2017.9.26,,,,374-2882,,120-815,서울특별시 서대문구 북가좌2동 334번지 4호,"서울특별시 서대문구 응암로 133, 2,3층 (북가좌동)",3676,동그라미산후조리원,2017.9.27 16:00,I,2018.8.31 23:59,,192358.264,453585.6296,23,23,353.4,62.6,26.8,19.8,17.2,,85.4,13.5,4,9,,1,1,,2,2,
458,산후조리업,01_01_04_P,3110000,PHMB120063110032042100002,2006.12.8,,3,폐업,3,폐업,2019.10.21,,,,02-353-4307,,,서울특별시 은평구 대조동 38번지 19호,"서울특별시 은평구 진흥로 133, D동 4층 (대조동)",3395,은혜산후조리원,2019.10.22 8:59,U,2019.10.24 2:40,,193284.9407,456206.2244,8,8,140.14,18.4,,11.4,3,6.1,,12.25,2,5,1,1,1,1,5,4,
459,산후조리업,01_01_04_P,3110000,PHMB120073110032042100001,2014.12.23,,3,폐업,3,폐업,2017.11.30,,,,02-388-0900,,122-825,서울특별시 은평구 녹번동 19번지 121호 3층,"서울특별시 은평구 통일로 636 (녹번동,3층)",,(주)와이케이 동그라미 은평지점,2017.11.30 19:18,I,2018.8.31 23:59,,194220.3248,455685.625,25,25,368.2,56.2,,68.1,15.6,11.84,88.55,19.4,3,4,,2,2,,2,2,
460,산후조리업,01_01_04_P,3110000,PHMB120063110032042100003,2006.12.18,,3,폐업,3,폐업,2016.7.14,,,,02-353-3588,,122-837,서울특별시 은평구 대조동 26번지 17호,서울특별시 은평구 진흥로13길 2 (대조동),,로얄사임당산후조리원,2016.7.15 13:23,I,2018.8.31 23:59,,193411.46,456303.2559,15,15,106.17,25.48,,20.2,5,5,10.3,7,2,4,,1,1,,4,2,
461,산후조리업,01_01_04_P,3110000,PHMB120083110032042100001,2008.3.18,,3,폐업,3,폐업,2011.6.10,,,,02-355-8113,,122-896,서울특별시 은평구 역촌동 15번지 7호,서울특별시 은평구 서오릉로 81 (역촌동),,아이제일산후조리원,2011.6.22 18:30,I,2018.8.31 23:59,,193006.7391,456126.378,7,7,100,,,,35,8.55,8.55,13.37,2,2,,,,,,,
462,산후조리업,01_01_04_P,3110000,PHMB120093110032042100001,2009.12.18,,3,폐업,3,폐업,2016.5.30,,,,389-2822,,122-833,서울특별시 은평구 녹번동 141번지 1호,서울특별시 은평구 진흥로 148 (녹번동),,라벨비 산후조리원,2016.5.30 11:31,I,2018.8.31 23:59,,193431.8061,456248.0974,9,9,164.2,16.8,3.99,,,,,,2,3,1,2,1,,5,5,
463,산후조리업,01_01_04_P,3110000,PHMB120113110032042100002,2011.6.20,,3,폐업,3,폐업,2018.9.19,,,,388-5855,,122-845,서울특별시 은평구 대조동 226번지 3호,서울특별시 은평구 서오릉로 134 (대조동),,맘스미 산후조리원,2019.1.24 19:32,U,2019.1.26 2:40,,192700.6316,456521.1103,9,9,138.56,,,12.45,6.4,10.8,21.94,3.85,3,3,,2,1,,1,1,
464,산후조리업,01_01_04_P,3180000,PHMB120063180034042100001,2006.12.8,,3,폐업,3,폐업,2009.4.13,,,,8438700,,150-815,서울특별시 영등포구 대림3동 719번지 1호,서울특별시 영등포구 대림로 167 (대림동),,아이맘산후조리원,2009.4.13 10:50,I,2018.8.31 23:59,,191015.4101,443732.7372,12,12,91.3,21.6,10.6,28.3,5,5,9.4,5,2,2,0,2,1,0,8,2,0
465,산후조리업,01_01_04_P,3180000,PHMB120063180034042100002,2006.11.7,,3,폐업,3,폐업,2011.4.8,,,,847-1001,,150-840,서울특별시 영등포구 신길1동 160번지 14호,서울특별시 영등포구 도신로 215-1 (신길동),150-840,라메르산후조리원,2011.4.8 14:49,I,2018.8.31 23:59,,192431.2652,445525.1849,3,3,16.64,12.6,5.4,22.8,2.7,2.7,3.3,4.4,1,1,0,1,1,0,6,6,0
466,산후조리업,01_01_04_P,3180000,PHMB120063180034042100003,2006.12.4,,3,폐업,3,폐업,2012.5.11,,,,2637-3816,,150-038,서울특별시 영등포구 영등포동8가 80번지 1호,서울특별시 영등포구 영중로 140 (영등포동8가),,르베르쏘산후조리원,2012.5.3 9:37,I,2018.8.31 23:59,,191628.2811,447397.3806,13,13,86.29,18.73,0,20.84,3.83,4.2,4.34,4.1,4,4,0,1,1,0,8,0,0
467,산후조리업,01_01_04_P,3140000,PHMB120073140033042100001,2007.6.18,,3,폐업,3,폐업,2017.2.3,,,,,,,서울특별시 양천구 목동 907번지 4호 우성에펠타운빌딩,"서울특별시 양천구 목동서로 67, 우성에펠타운빌딩 (목동)",7983,맘앤캐슬(목동점)산후조리원,2020.4.2 15:26,U,2020.4.4 2:40,,189197.5061,448244.5232,13,13,,,,,,,,,5,5,,,,3,0,,
468,산후조리업,01_01_04_P,3070000,PHMB120063070034042100001,2006.12.19,,3,폐업,3,폐업,2020.3.31,,,,,,136-841,서울특별시 성북구 정릉동 14번지 25호,서울특별시 성북구 정릉로 306 (정릉동),2816,열린 산후조리원,2020.3.31 16:08,U,2020.4.2 2:40,,201442.3085,455602.2773,17,17,263.76,34.85,6.7,,,,,3.12,3,8,,,1,,4,4,
469,산후조리업,01_01_04_P,3140000,PHMB120063140033042100001,2006.12.11,,3,폐업,3,폐업,2010.4.29,,,,,,158-807,서울특별시 양천구 목2동 507번지 11호,,,엠엔비산후조리원(양천점),2016.5.30 13:31,I,2018.8.31 23:59,,188498.6042,449463.1186,10,10,,,,,,,,,3,3,,,,,,,
470,산후조리업,01_01_04_P,3140000,PHMB120063140033042100002,2006.12.14,,3,폐업,3,폐업,2019.9.3,,,,,,,서울특별시 양천구 목동 792번지 4호 목동태영프라자,"서울특별시 양천구 등촌로 32, 목동태영프라자 2층 (목동)",7965,행복한 산후조리원,2019.9.3 17:50,U,2019.9.5 2:40,,187923.9196,447850.8911,10,10,,,,,,,,,,,,,,,0,,
471,산후조리업,01_01_04_P,3180000,PHMB120063180034042100004,2006.12.5,,3,폐업,3,폐업,2017.7.27,,,,,,150-823,서울특별시 영등포구 대림2동 993번지 72호,서울특별시 영등포구 시흥대로175길 5 (대림동),7445,사임당(디지털점)산후조리원,2017.7.24 15:53,I,2018.8.31 23:59,,191488.8825,442861.8091,12,12,134.8,20.8,0,23.7,0,0,0,10.5,2,8,1,1,1,0,3,23,0
472,산후조리업,01_01_04_P,3180000,PHMB120083180034042100002,2008.2.21,,3,폐업,3,폐업,2017.1.31,,,,,,150-860,서울특별시 영등포구 신길6동 4491번지,서울특별시 영등포구 여의대방로 65 (신길동),,VIP산후조리원,2017.2.3 15:45,I,2018.8.31 23:59,,192275.2997,443891.0734,17,17,256.74,28.09,10.52,33.44,8.26,0,0,20.29,2,9,0,1,1,0,8,2,0
473,산후조리업,01_01_04_P,3180000,PHMB120103180034042100002,2010.9.7,,3,폐업,3,폐업,2015.7.31,,,,,,150-038,서울특별시 영등포구 영등포동8가 68번지,서울특별시 영등포구 영중로 133 (영등포동8가),7228,아이엘산부인과 소아청소년과 부설 산후조리원,2015.12.11 19:48,I,2018.8.31 23:59,,191565.5932,447346.6558,7,7,127.1,28,0,0,20,4,26.7,18,2,4,0,1,1,0,6,5,1
474,산후조리업,01_01_04_P,3180000,PHMB120113180034042100002,2011.8.9,,3,폐업,3,폐업,2015.5.15,,,,2637-3838,,150-038,서울특별시 영등포구 영등포동8가 80번지 1호,서울특별시 영등포구 영중로 140 (영등포동8가),,(주)영등포 행복한 산후조리원,2015.5.6 14:42,I,2018.8.31 23:59,,191628.2811,447397.3806,16,16,179,34.9,3.4,25.7,10,34,34,5.7,4,5,0,2,1,1,5,4,1
475,산후조리업,01_01_04_P,3030000,PHMB120103030033042100001,2010.7.2,,3,폐업,3,폐업,2016.9.30,,,,2212-2582,,133-847,서울특별시 성동구 용답동 2번지 3호 장안빌딩 2층,"서울특별시 성동구 천호대로 320 (용답동,장안빌딩 2층)",,맘스터치산후조리원,2016.10.4 12:05,I,2018.8.31 23:59,,204811.0052,451358.6071,17,17,6.3,35.41,8.39,42.78,8.14,6.21,2.85,7.24,3,7,,2,1,,1,1,
476,산후조리업,01_01_04_P,3030000,PHMB120123030033042100001,2012.10.26,,3,폐업,3,폐업,2021.5.31,2021.1.1,2021.5.31,,02-467-5588,,,,"서울특별시 성동구 왕십리로 88, 노벨빌딩 3층 (성수동1가)",4778,(주)와이케이 동그라미 산후조리원 성수점,2021.6.3 16:59,U,2021.6.5 2:40,,203973.59,449216.6851,18,18,16.17,44.4,16.2,40,9.8,,59.4,8.6,3,6,,2,1,,0,,
477,산후조리업,01_01_04_P,3030000,PHMB120133030033042100001,2013.12.4,,3,폐업,3,폐업,2019.5.25,,,,2295-2220,,133-071,서울특별시 성동구 행당1동 320번지 10호,서울특별시 성동구 고산자로8길 5 (행당동),,호아맘산후조리원,2019.6.3 17:27,U,2019.6.5 2:40,,202985.0782,450591.7599,20,20,22.2,41.54,6.82,50.4,18.3,,12.64,11.55,2,8,,1,,,6,5,1
478,산후조리업,01_01_04_P,3060000,PHMB120073060034042100001,2007.4.23,,3,폐업,3,폐업,2021.7.1,,,,973-0500,,131-846,"서울특별시 중랑구 묵1동 2번지 현동학당 206호, 207호","서울특별시 중랑구 신내로25가길 2, 206호 (묵동)",2021,이제산후조리원,2021.7.1 13:37,U,2021.7.3 2:40,,207357.5952,457462.7667,14,14,158,29.84,,24.15,9.73,,,21.48,3,7,,2,1,1,,,
479,산후조리업,01_01_04_P,3060000,PHMB120073060034042100002,2007.1.2,,3,폐업,3,폐업,2009.6.9,,,,02-439-5400,,131-881,서울특별시 중랑구 중화2동 303번지 14호 2필지 그린빌딩 5층,,,사임당산후조리원,2009.6.10 9:44,I,2018.8.31 23:59,,206936.5702,455280.6005,0,0,,,,,,,,,3,6,,,,,7,5,
480,산후조리업,01_01_04_P,3060000,PHMB120073060034042100003,2007.9.11,,3,폐업,3,폐업,2018.8.31,,,,02-495-7600,,131-856,서울특별시 중랑구 상봉1동 74번지 46호 4층,"서울특별시 중랑구 망우로 377, 4층 (상봉동)",2086,로얄사임당산후조리원,2018.8.31 17:46,I,2018.8.31 23:59,,208240.8665,455162.057,0,0,214.11,30.32,,,,,,,3,8,1,2,2,,15,4,
481,산후조리업,01_01_04_P,3060000,PHMB120093060034042100001,2009.6.15,,3,폐업,3,폐업,2015.12.11,,,,02-439-5400,,131-881,서울특별시 중랑구 중화2동 303번지 14호 그린빌딩 5층,"서울특별시 중랑구 동일로 775, 5층 (중화동, 그린빌딩)",2102,첫단추 산후조리원,2015.12.17 11:00,I,2018.8.31 23:59,,206936.5702,455280.6005,15,15,,,,,,,,,3,6,1,1,1,,0,,
482,산후조리업,01_01_04_P,3060000,PHMB120113060034042100001,2011.7.20,,3,폐업,3,폐업,2019.8.22,,,,972-0808,,131-141,서울특별시 중랑구 묵1동 168번지 18호,서울특별시 중랑구 중랑역로 257 (묵동),2018,와이케이동그라미 산후조리원(태릉점),2019.8.22 16:14,U,2019.8.24 2:40,,206694.0528,457058.8336,15,15,246.6,24.75,13,13.2,10.5,,1.32,8.64,2,3,,1,1,1,5,5,
483,산후조리업,01_01_04_P,3620000,PHMB120063620020042100001,2006.12.13,,1,영업/정상,13,영업중,,,,,062-260-3237,,500-806,"광주광역시 북구 두암2동 822번지 10호 외 3필지, 822-4외 1필지","광주광역시 북구 면앙로170번길 10, 5.6.7층 (두암동)",61195,에덴병원산후조리원,2019.12.17 14:31,U,2019.12.19 2:40,,193498.805,186299.3061,28,28,772.9,92.36,21.6,,,,,,7,10,,,,2,7,3,
484,산후조리업,01_01_04_P,3620000,PHMB120093620020042100001,2009.6.29,,1,영업/정상,13,영업중,,,,,062-511-6100,,500-855,"광주광역시 북구 운암2동 486번지 7호 5,6층",광주광역시 북구 북문대로 22 (운암동),61117,문화여성병원 산후조리원,2019.12.17 14:07,U,2019.12.19 2:40,,189273.8149,186156.9943,17,17,342.02,40.78,31.62,,,,,,4,8,0,0,0,,7,7,1
485,산후조리업,01_01_04_P,3450000,PHMB120063450022042100001,2006.12.4,,1,영업/정상,13,영업중,,,,,053-954-7771,,702-013,대구광역시 북구 산격3동 1287번지 4호,대구광역시 북구 동북로 196 (산격동),41535,신세계병원산후조리원,2022.1.3 16:59,U,2022.1.5 2:40,,345615.2236,267580.2205,20,20,268,42.5,17.7,240.4,16.3,3,79.3,8,9,0,0,0,0,0,5,4,1
486,산후조리업,01_01_04_P,3450000,PHMB120173450022042100001,2017.5.8,,1,영업/정상,13,영업중,,,,,053-325-2900,,,,"대구광역시 북구 학정로 415, 6층 (동천동, 메가타운)",41423,류정선산후조리원,2018.2.14 15:48,I,2018.8.31 23:59,,340961.5612,272411.5129,20,20,338.7,37.4,16.1,41,17.1,,17.1,15.1,2,8,,1,1,,1,1,
487,산후조리업,01_01_04_P,5370000,PHMB120115370025042100001,2011.1.12,,1,영업/정상,13,영업중,,,,,055-638-0037,,656-304,경상남도 거제시 고현동 970번지 18호,경상남도 거제시 거제중앙로 1925 (고현동),53252,엘르메디 여성의원 부설 산후조리원,2016.5.31 13:43,I,2018.8.31 23:59,,348200.7268,155762.8879,15,15,14.64,28.5,9.47,20.47,5.4,1.8,2.32,8,2,6,,4,1,1,4,4,
488,산후조리업,01_01_04_P,5710000,PHMB120074360079042100003,2007.3.6,,1,영업/정상,13,영업중,,,,,043-262-8541,,,충청북도 청주시 서원구 사창동 143번지 2호,"충청북도 청주시 서원구 사직대로 101 (사창동, 민병열산부인과)",28575,민병열산부인과산후조리원,2018.7.13 13:38,I,2018.8.31 23:59,,240962.7846,348324.1402,20,20,398.66,66.58,26.85,,,,98,12.66,2,6,,,2,,2,2,
489,산후조리업,01_01_04_P,5710000,PHMB120074360079042100002,2007.4.27,,1,영업/정상,13,영업중,,,,,043-239-0002,,361-805,충청북도 청주시 서원구 개신동 711번지,충청북도 청주시 서원구 복대로17번길 7-42 (개신동),28612,(주)모태안산후조리원,2022.7.15 16:22,U,2022.7.17 2:40,,239768.0047,346333.7471,57,57,15.55,122.7,8.58,51.39,22.44,1.61,1.61,12.4,5,23,1,7,8,1,3,3,0
490,산후조리업,01_01_04_P,3180000,PHMB120143180034042100001,2014.12.5,,1,영업/정상,13,영업중,,,,,02-3667-3579,,150-096,서울특별시 영등포구 문래동6가 5번지 2호 문래아카데미,서울특별시 영등포구 선유로 59 (문래동6가),7281,주식회사 리더스 산후조리원,2020.12.18 15:20,U,2020.12.20 2:40,,190114.1837,446343.4894,20,20,412,47,7.6,25,9,3.38,3.38,11.7,3,16,0,1,1,1,9,6,3
491,산후조리업,01_01_04_P,3180000,PHMB120153180034042100001,2015.5.15,,1,영업/정상,13,영업중,,,,,,,150-038,서울특별시 영등포구 영등포동8가 80번지 1호,"서울특별시 영등포구 영중로 140 (영등포동8가, 영중로 140)",7226,더 아이리스 산후조리원,2022.9.2 16:24,U,2022.9.4 2:40,,191628.2811,447397.3806,14,14,294,27.1,12,10.1,13,0,4,5.6,3,7,0,2,1,1,9,4,0
492,산후조리업,01_01_04_P,3110000,PHMB120113110032042100003,2011.8.18,,1,영업/정상,13,영업중,,2022.12.3,2023.1.2,,,,122-819,서울특별시 은평구 구산동 1번지 24호  상원빌딩 5층,"서울특별시 은평구 서오릉로 145 (구산동,상원빌딩 5층)",,라크렘 산후조리원 은평점,2023.1.4 16:57,U,2023.1.6 2:40,,192563.8745,456570.0846,24,24,263.41,44.5,12.5,46.5,12.5,76.18,0,8.32,3,1,0,1,1,0,0,0,0
493,산후조리업,01_01_04_P,3210000,PHMB120063210034042100002,2006.12.6,,1,영업/정상,13,영업중,,,,,02-532-1633,,137-829,서울특별시 서초구 방배본동 783번지 26호 로얄쇼핑센터 3층,"서울특별시 서초구 동작대로 172 (방배동,로얄쇼핑센터 3층)",,(주)와이케이동그라미 레피리움 강남지점,2020.9.3 16:59,U,2020.9.5 2:40,,198438.3386,443294.8359,14,14,16.5,48,16.5,20,7,15,6.6,16.5,3,4,,,,,0,,
