"키값","기관코드","유형1","유형2","대표기관명","전체기관명","최하위기관명","대표전화번호","새우편번호","주소","도로명주소","행정시","행정구","행정동"
"BE_LiST27-0025","1710459","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울휘경동우체국","서울휘경동우체국","02-965-2336","02444","","서울특별시 동대문구 휘경서길 27","서울특별시","동대문구","용신동"
"BE_LiST27-0026","1710807","우정","우정_집중국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동서울우편집중국","동서울우편집중국","02-450-6004","05050","","서울특별시 광진구 자양동 자양로 76","서울특별시","광진구","자양2동"
"BE_LiST27-0027","1710430","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국","서대문우체국","02-390-9114","03727","","서울특별시 서대문구 성산로20길 9","서울특별시","서대문구","신촌동"
"BE_LiST27-0028","1710446","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 경찰청우체국","경찰청우체국","02-393-2001","03739","","서울특별시 서대문구 통일로 97 (미근동 209)","서울특별시","서대문구","충현동"
"BE_LiST27-0029","1710438","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 서울모래내우체국","서울모래내우체국","02-373-2005","03690","","서울특별시 서대문구 거북골로160 (북가좌동 424-29)","서울특별시","서대문구","북가좌2동"
"BE_LiST27-0030","1710439","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 서울신촌우체국","서울신촌우체국","02-362-0205","03766","","서울특별시 서대문구 신촌로161 (대현동 90-101)","서울특별시","서대문구","신촌동"
"BE_LiST27-0031","1710443","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 서울연세대학교우체국","서울연세대학교우체국","02-390-0205","03722","","서울특별시 서대문구 연세로50 (신촌동 134)","서울특별시","서대문구","신촌동"
"BE_LiST27-0032","1710441","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 서울연희동우체국","서울연희동우체국","02-324-2005","03698","","서울특별시 서대문구 증가로12 (연희동 90-15)","서울특별시","서대문구","연희동"
"BE_LiST27-0033","1710445","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 서울이화여자대학교우체국","서울이화여자대학교우체국","02-363-0205","03760","","서울특별시 서대문구 이화여대길 52 (대현동 11-1)","서울특별시","서대문구","충현동"
"BE_LiST27-0034","1710442","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 서울충정로우체국","서울충정로우체국","02-362-0004","03735","","서울특별시 서대문구 통일로127 (충정로2가 8-2)","서울특별시","서대문구","충현동"
"BE_LiST27-0035","1710440","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서대문우체국 서울홍제동우체국","서울홍제동우체국","02-379-4205","03646","","서울특별시 서대문구 통일로419 (홍제동 158-45)","서울특별시","서대문구","홍제1동"
"BE_LiST27-0036","1710580","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국","서울강남우체국","02-2040-4000","06336","","서울특별시 강남구 개포로 619 (개포동)","서울특별시","강남구","일원2동"
"BE_LiST27-0037","1710597","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울개포1동우체국","서울개포1동우체국","02-575-0205","06325","","서울특별시 강남구 선릉로 36 (개포동)","서울특별시","강남구","개포2동"
